Document Title,Abstract,Year,PDF Link,label
A simple model to predict compound loss processes in aquatic ecotoxicological tests: calculated and measured triphenyltin levels in water and biota,"A new simple model, based on the fugacity approach, has been developed to provide a predictive tool useful in the planning phase of aquatic ecotoxicological tests for assessing the actual daily concentrations in water. In our experiments, three nominal concentrations (100, 225, and 500 ng L-1) of triphenyltin chloride (TPT-Cl) were employed for an exposure period of 28 days in 50 L aquaria with the echinoderm Antedon mediterranea as test species. Extracts from water and biota samples collected during the experiments were analysed by GC-MS/MS, after the extraction/derivatization step. An indicative mean BCF (V/V) on a fresh weight base of 3.5 x 10(4) +/- 0.8 x 10(4) (standard deviation) could be calculated for A. mediterranea. Three different compartments (air, water and biota) and main advection/reaction processes are taken into account in the model design, and the comparison between predicted and measured concentrations in both water and biota for the three concentrations tested confirmed that the assumptions given in our model application were valid and useful for further applications.",2006,10.1080/03067310500249997,no
Process models representing knowledge for action: a revised quality framework,"A semiotic framework for evaluating the quality of conceptual models was proposed by (Lindland OI, Sindre G and Solvberg A (1994) Understanding Quality in Conceptual Modelling, IEEE Software 11(2), 41-49) and has later been extended in several works. While the extensions have fixed some of the limitations of the initial framework, other limitations remain. In particular, the framework is too static in its view upon semantic quality, mainly considering models, not modelling activities, and comparing these models to a static domain rather than seeing the model as a facilitator for changing the domain. Also, the framework's definition of pragmatic quality is quite narrow, focusing on understanding, in line with the semiotics of Morris, while newer research in linguistics and semiotics has focused beyond mere understanding, on how the model is used and impact its interpreters. The need for a more dynamic view in the semiotic quality framework is particularly evident when considering process models, which themselves often prescribe or even enact actions in the problem domain, hence a change to the model may also change the problem domain directly. This paper discusses the quality framework in relation to active process models and suggests a revised framework based on this.",2006,10.1057/palgrave.ejis.3000598,no
Evaluating parameterizations of the autoconversion process using a single-column model and Atmospheric Radiation Measurement Program measurements,"A single-column model is used to evaluate the performance of two types of autoconversion parameterizations. The model results are compared to data collected at the Atmospheric Radiation Measurement Program's Southern U. S. Great Plains site. The model is run over a period covering 2 years (2000-2001), and the results are analyzed for time periods varying from hourly to seasonal. During a relatively short 27-hour period during March 2000 characterized primarily by shallow frontal clouds, modeled values of cloud liquid water were better simulated using a Manton-Cotton-type autoconversion parameterization. However, over longer timescales representing a multitude of different cloud types and meteorological conditions, a Sundqvist-type parameterization produced better results. Analysis of the model results indicates that the Manton-Cotton-type parameterization does better during periods when shallow clouds are present without any overlying clouds, while the Sundqvist-type parameterization is preferred during periods when high and low clouds coexist. A possible explanation is that precipitation from high clouds may not be represented well by the SCM, thus affecting the precipitation formation rates in any lower clouds. Sensitivity tests using the Manton-Cotton parameterization indicate that the autoconversion rate is sensitive to the specification of the cloud droplet number concentration (N-c). The single-column model, as well as many general circulation models, specify N-c as a constant value. However, limited in situ measurements suggest that N-c varies significantly in time. The mean modeled top-of-atmosphere cloud radiative forcing during the 2-year period 2000-2001 differed by 3 W m(-2) as the cloud droplet concentration was varied between minimum and maximum values suggested by the in situ measurements. These results imply that model-produced hydrological cycle and cloud-radiation interactions could be better modeled using an accurate time-dependent measure of the cloud droplet concentration.",2006,10.1029/2005JD006296,no
Efficiency of polymerase chain reaction processes: A stochastic model,"A stochastic model for the efficiency of polymerase chain reaction (PCR) processes is presented. The model is based on the assumption that the i'th nucleotide incorporation on the DNA template takes tau(i) seconds, where tau(i), has an exponential distribution with mean 1/lambda(i). In this paper, given lambda(i) that can be obtained from the primer-template sequence, temperature profile, enzyme rate, and other assay conditions [3], we calculate the efficiency of a multi-step PCR process using the distribution of the summation of non-identical exponential distributions.",2006,10.1109/GENSIPS.2006.353143,no
3-D inverse problem continuous model for thermal behavior of mould process based on the temperature measurements in plant trial,"A three-dimensional mathematical model for round billet continuous casting of steel in the mould, adopting the surface revolution theory, together with an appropriate inverse problem method from the measured temperatures by the thermocouples buried in various locations in the mould, has been developed to elucidate the real thermal behavior of mould process in plant production, including the mould heat transfer, steel solidification, and slag film distribution, with the objective of understanding the relationship among them. The results show that the vertical component of heat condition and the slag rim at meniscus decreases mould temperatures and the former also lower the level of the peak temperature, and the minimum thickness of solid slag film about 80 mm below meniscus results in the peak mould heat flux and temperature. The magnitude and profile of mould heat transfer around the perimeter between the shell and mould, having corresponding relationship with solid slag, determines that of shell thickness. And the channel the liquid slag entering at meniscus determines the mould heat transfer to some extent.",2006,,no
Integrated chemical-physical processes kinetic modelling of multiple mineral precipitation problems,"A three-phase (aqueous/gas/solid) mixed weak acid/base chemistry kinetic model is applied to evaluate the processes operative in the aeration treatment of swine wastewater (SWW) and sewage sludge anaerobic digester liquor (ADL). In both applications, with a single set of constants (except for the aeration rates which are situation specific), close correlation could be obtained between predicted and measured data, except for the Ca concentration-time profile in the SWW. For this wastewater, the model application highlighted an inconsistency in the measured Ca data which could not be resolved; this illustrates the value of a mass balance-based model in evaluating experimental data. From the model applications, in both wastewaters the dominant minerals precipitating are struvite and amorphous calcium phosphate (ACP), which precipitate simultaneously competing for the same species, P. The absolute and relative masses of the two precipitants are governed by the initial solution state (e.g. total inorganic C (C-T), Mg, Ca and P concentrations), their relative precipitation rates (struvite > ACP) and the system conditions imposed (aeration rates and time applied). It is concluded that the kinetic model is able to predict correctly the time-dependent weak acid/base chemistry reactions and final equilibrium state for situations where multiple minerals competing for the same species precipitate simultaneously or sequentially, a deficiency in traditional equilibrium chemistry-based algebraic models.",2006,10.2166/wst.2006.407,no
Automated correction of surface obstruction errors in digital surface models using off-the-shelf image processing,"Airborne topographic data collection requires removal of errors that arise due to surface features that obstruct the ground from the sensor. Typically, this has been based on manual correction and/or automated filtering. To some degree, the latter has provided a method for identifying and removing unwanted surface obstructions in large topographic data-sets. However, the algorithms used are unintelligent in that they cannot reliably differentiate between the various types of obstructions and the ground. If coincident optical support imagery is available, the use of intelligent correction routines becomes possible. This paper describes an automated approach for removing obstruction errors using optical support imagery and simple image processing routines. Orthorectification and classification of support imagery enable obstruction errors to be identified in the digital surface model (DSM) and corrected intelligently to produce a digital terrain model (DTM). The results show that support imagery can be used with basic image processing routines to remove obstructions intelligently and automatically from large topographic data-sets. Since the approach can differentiate between types of obstructions, the removal of each type of error can be customised, making this a very flexible approach to topographic data correction.",2006,10.1111/j.1477-9730.2006.00398.x,no
Modelling biological processes under anaerobic conditions through integrating titrimetric and off-gas measurements - applied to EBPR systems,"An innovative method for modelling biological processes under anaerobic conditions is presented and discussed. The method is based on titrimetric and off-gas measurements. Titrimetric data is recorded as the addition rate of hydroxyl ions or protons that is required to maintain pH in a bioreactor at a constant level. An off-gas analysis arrangement measures, among other things, the transfer rate of carbon dioxide. The integration of these signals results in a continuous signal which is solely related to the biological reactions. When coupled with a mathematical model of the biological reactions, the signal allows a detailed characterisation of these reactions, which would otherwise be difficult to achieve. Two applications of the method to the enhanced biological phosphorus removal processes are presented and discussed to demonstrate the principle and effectiveness of the method.",2006,10.2166/wst.2006.020,no
Comparison of numerical and physical models for understanding shear fracture processes,"An understanding of the formation of shear fractures is important in many rock engineering design problems. Laboratory experiments have been performed to determine the Mode II fracture toughness of Mizunami granite rock samples using a cylindrical `punch-through' testing device. In this paper we attempt to understand and interpret the experimental results by numerical simulation of the fundamental shear fracture initiation and coalescence processes, using a random array of displacement discontinuity crack elements. It is found that qualitative agreement between the experimental and numerical results can be established, provided that shear-like micro-scale failure processes can be accommodated by the failure initiation rules that are used in the numerical simulations. In particular, it is found that the use of an exclusively tension-driven failure initiation rule does not allow the formation of macro-shear structures. It is apparent, also, that further investigation is required to determine how consistent rules can be established to link micro-failure criteria to equivalent macro-strength and toughness properties for a macro-shear slip surface.",2006,10.1007/s00024-006-0055-9,no
"Research on the Representation of the Programming Task Process of the Problem of ""farmer's dilemma""","Anatomizing and describing knowledge task process (KTP) is the first step to improve the efficiency of knowledge work. From the angle of method optimizing and time-test, and on the basis of basic logic of motion time analysis, this paper interpreted knowledge task as a series of mind operations, and a procedure of information processing and computing in human's brain. Mind operation is considered as the therblig and algorithm of knowledge task. A programming process of ""Farmer's dilemma"" was given as an example to illustrate and analyze KTP by the concept of mind operation with the principle of scientific management and computing theory. This paper characterized the way of analyzing KTP by mind operation and described the paradigm of such analysis in the mean time.",2006,,no
A case-based reasoning method for processing model recognition and reuse in program comprehension,"Applying Cased-based reasoning (CBR) method in program understanding provides a practical route towards more powerful software engineering technology. A CBR approach to the recognition of model component is presented and the whole reasoning process of the recognition is presented, including a case representation method and a matching algorithm. A prototype system named Process Model Component Recognition & Reuse (PMCRR) is developed to implement model transformation and reconstruction. At last, an example is illustrated to check the efficiency of CBR method.",2006,10.1109/ICCIAS.2006.294101,no
Methodological guidelines for SQA in development process - An approach based on the SPICE model,"As far as international standards for promoting Software Process Quality are concerned, one of the most popular and accepted is ISO 15504 (or SPICE model). On the other hand, since a development methodology must guide the main activities in software development, it is necessary that this one fulfils some Quality Base Practices to guarantee a high-level product. The purpose of this research is analyzing a set of five methodologies widely used by developers, to identify its adjustment with respect to the aforementioned standard. This analysis allowed us: (1) determining the degree of alignment of these methodologies with respect to the SPICE model, and (2) proposing a synthesis of methodological guidelines, based on the best practices obtained from these methodologies, that supports the characteristics contained in the studied standard.",2006,,no
Integration of the STEP-based assembly model and XML schema with the fuzzy analytic hierarchy process (FAHP) for muti-agent based assembly evaluation,"Assemblability analysis and evaluation plays a key role in assembly design, operation analysis and planning. In this paper, we propose an integrated intelligent approach and framework for evaluation of assemblability and assembly sequence for electro-mechanical assemblies (EMAs). The approach integrates the STEP (STandard for the Exchange of Product model data, officially ISO 10303)-based assembly model and XML schema with the fuzzy analytic hierarchy process for assembly evaluation. The evaluation structure covers not only the geometric and physical characteristics of the assembly parts but also the assembly operation data necessary to assemble the parts. The realization of the integration system is implemented through a multi-agent framework. Through integration with the STEP-based product modeling agent system, CAD agent system and assembly planning agent system, the developed assembly evaluation agent system can effectively incorporate, exchange, and share concurrent engineering knowledge into the preliminary design process so as to provide users with suggestions for improving a design and also helping obtain better design ideas. The applications show that the proposed approach and system are feasible.",2006,10.1007/s10845-006-0031-3,no
Evaluation of management alternatives for an agricultural watershed in a sub-humid subtropical region using a physical process based model,"Assessments of potential environmental impacts of non-point source (NPS) pollutants at local and regional scales are necessary as a basis for effective management strategies to protect precious resources such as land and water. Intensive watershed scale study is therefore necessary to develop management strategies for abating the agricultural NPS pollution. The major goal of the present study was to identify the critical areas of an agricultural watershed and recommend the best management practices using a physical process based watershed scale model, soil water assessment tool (SWAT). A 973-ha agricultural watershed located in Midnapore district of West Bengal state in eastern India was monitored to quantify the hydrologic parameters such as runoff, sediment yield and the quality of surface water. The model was calibrated and validated using observed hydrologic and water quality data of the watershed monitored during the rainy seasons of 2002 and 2003, respectively. Besides these data, micro-meteorological data, topographical map, soil map, land resources data and remote sensing data (satellite imagery) of the watershed were used as input to the model. The study revealed that SWAT model simulates daily runoff, sediment yield and nutrient concentration in runoff satisfactorily throughout the entire rainy season, as evident from standard statistical tests. The calibrated model was then successfully used for identifying the critical sub-watersheds and for development of best management practices. Several simulations were performed to determine the best out of the 48 different combinations of treatments for the management of the critical sub-watersheds. The study revealed that no other crop could replace the rice (Oryza sativa) crop during the rainy season and the existing conventional tillage practice needs to be replaced by conservation tillage in order to minimize the sediment yield and nutrient losses. Fertilizer application rate of 80:60 kg ha(-1) of N:P is also recommended to minimize the surface water pollution in the watershed due to NO3-N and P. (c) 2005 Elsevier B.V. All rights reserved.",2006,10.1016/j.agee.2005.08.032,no
Modeling simulation and experimental validation for mold filling process,"Based on the continuum equation, momentum conservation and energy conservation equations, the numerical model of turbulent flow filling was introduced; the 3-D free surface vof method was improved. Whether or not the numerical simulation results are reasonable, it needs corresponding experimental validations. General experimental techniques for casting fluid flow process include: thermocouple tracking location method, hydraulic simulating method, heat-resistant glass window method and X-ray observation etc. The hydraulic analogue experiment with DPIV technique is arranged to validate the fluent flow program for low-pressure casting with 0.1 X 10(5) Pa and 0.6 X 10(5) Pa pressure visually. By comparing the flow head, liquid surface, flow velocity, it is found that the filling pressure value influences the flow state strongly. With the increase of the filling pressure, the fluid flow state becomes'unstable, the flow head becomes higher, and the filling time is reduced. The simulated results are accordant with the observed results approximately, which can prove the reasonability of our numerical program for filling process further.",2006,,no
Scenario-based comparison and evaluation: issues of current business process modelling languages,"Business process modelling (BPM) is an important way to understand business processes and provides a basis for further improvement and integration. In this paper, five business process modelling languages are used to model a business scenario and their advantages and disadvantages are discussed. Some process characteristics are derived from real scenarios and used for evaluating current business process modelling languages. The evaluation results reveal that none of the business process modelling languages studied can fulfil the modelling requirements. The limitations of current business process modelling languages are further investigated and future research directions are discussed.",2006,10.1243/095440505X32409,no
Adopting the cognitive complexity measure for business process models,"Business process models, often modelled using graphical languages like UML, serve as a base for communication between the stakeholders in the software development process. To fulfill this purpose, they should be easy to understand and easy to maintain. For this reason, it is useful to have measures that can give us some information about understandability, analyzability and maintainability of a business process model. Shao and Wang have proposed a cognitive complexity measure[19]. It can be used to estimate the comprehension effort for understanding software. This paper discusses how these research results can be extended in order to analyze the cognitive complexity of graphical business process models.",2006,10.1109/COGINF.2006.365702,no
A process-based rejectionist framework for evaluating catchment runoff model structure,"Complex hydrological descriptions at the hillslope scale have been difficult to incorporate within a catchment modeling framework because of the disparity between the scale of measurements and the scale of model subunits. As a result, parameters represented in many conceptual models are often not related to physical properties and therefore cannot be established prior to a model calibration. While tolerable for predictions involving water quantity, water quality simulations require additional attention to transport processes, flow path sources, and water age. This paper examines how isotopic estimates of residence time may be used to subsume flow path process complexity and to provide a simple, scalable evaluative data source for water quantity- and quality-based conceptual models. We test a set of simple distributed hydrologic models (from simple to more complex) against measured discharge and residence time and employ a simple Monte Carlo framework to evaluate the identifiability of parameters and how the inclusion of residence time contributes to the evaluative process. Results indicate that of the models evaluated, only the most complex, including an explicit unsaturated zone volume and an effective porosity, successfully reproduced both discharge dynamics and residence time. In addition, the inclusion of residence time in the evaluation of the accepted models results in a reduction of the a posteriori parameter uncertainty. Results from this study support the conclusion that the incorporation of soft data, in this case, isotopically estimated residence times, in model evaluation is a useful mechanism to bring experimental evidence into the process of model evaluation and selection, thereby providing one mechanism to further reconcile hillslope-scale complexity with catchment-scale simplicity.",2006,10.1029/2005WR004247,no
A study on Knowledge Process Project and its process model - Complexity theory perspective,"Complexity theory provides new perspective from which we can observe the Knowledge Process Project (KPP), and allows us to build its process model in a nonlinear, chaotic way. This study first advanced the concept of KPP, compared it with Craftwork Process Project (CPP); and then builds its process model, based on organization Change-Tolerance; at last uses a real case to exam the model and extract several management implications.",2006,,no
A context-driven software comprehension process model,"Comprehension is an essential part of software evolution. Only software that is well understood can evolve in a controlled manner. In this paper, we present a formal process model to support the comprehension of software systems by using Ontology and Description Logic. This formal representation supports the use of reasoning services across different knowledge resources and therefore, enables us to provide users with guidance during the comprehension process that is context sensitive to their particular comprehension task. As part of the process model, we also adopt a new interactive story metaphor, to represent the interactions between users and the comprehension process.",2006,10.1109/SOFTWARE-EVOLVABILITY.2006.1,no
"Note on ""effects of random defective rate and imperfect rework process on economic production quantity model""",Conventional approaches for deriving optimal production lot size are by using the differential calculus on the production-inventory cost function with the need to prove optimality first. Recent articles proposed the algebraic approach to the solution of classic economic order quantity and economic production quantity (EPQ) model without reference to the use of derivatives. This note extends it to an EPQ model taking the random defective rate and imperfect rework process into consideration. We demonstrate that the optimal lot size can be solved algebraically and the expected inventory cost can be derived immediately as well. [DOI: 10.1115/1.2039948],2006,10.1115/1.2039948,no
Data quality evaluation process and methods of natural environment conceptual model in simulation systems,"Currently in almost simulation systems applying environment models, data quality of natural environment is not sufficiently evaluated. In order to address this problem, the process and method of data quality evaluation are proposed for Natural Environment Conceptual Model(NECM). Firstly, a process of 4 steps is presented to evaluate data quality of NECM. Secondly, indexes and factors of data quality evaluation are given according to the characteristics of NECM. Thirdly, in order to meet the requirement of this data evaluation, the Analytic Hierarchy Process(AHP) method is improved and then applied to evaluate the data quality. Finally, the results of data quality evaluation are given and analyzed.",2006,,no
Error-proof process network model,"Data flow process networks are frequently used in streaming multimedia applications. Modified Kahn process network analyzed in this paper is a kind of data flow process networks. It is a computation model in which many concurrent processes can be executed simultaneously. In real time digital signal processing applications execution time often is infinite. However failures of implementation hardware can occur. In our work dynamic run-time reconfiguration is introduced into process network which ensures hardware error handling. After dynamic reconfiguration, network execution results may become non deterministic, but this helps avoiding critical termination of network execution. In this work Error-Proof Process Network (EPPN) model is presented. EPPN is based on Kahn process network model and ensures the possibility to reconfigure network in case of hardware failure.",2006,,no
Building inferential estimators for modeling product quality in a crude oil desalting and dehydration process,"Desalting/dehydration plants (DDP) are often installed in crude oil production units in order to remove water-soluble salts from an oil stream. This paper describes the development of simple inferential estimators for product quality of the desalting/dehydration process. The inferential estimators were constructed to capture the relationship between the product quality of the plant and the process input variables. Five input process variables that are known to influence product quality were considered. These include temperature, settling time, mixing time, chemical dosage, and dilution rate. The product quality of the desalting/dehydration process was identified by the salt removal and water cut efficiencies. Hence, inferential estimators were used to infer the salt removal and water cut efficiencies from the five input process variables. These inferential estimators were constructed based on the application of both multiple linear and principal component analysis as well as non-linear regression. The results indicate that the settling time and dilution water were the common variables in estimating both the salt removal and water cut efficiencies. On the other hand, temperature contributed insignificantly in predicting the two efficiencies. Furthermore, the inferential model predictions were compared with the experimental readings. It was found that the actual dependence of the performance of the desalting/dehydration process on process parameters could not be described only by linear relationships. Addressing the non-linearity of the process variables overcame the problem of inaccurate predictions. Future studies based on the use of computational intelligence techniques and design of experiments to get better models are suggested as well as the use of response surface methodologies to determine the set of parameters that will optimize the process efficiencies. (c) 2006 Elsevier B.V. All rights reserved.",2006,10.1016/j.cep.2006.01.004,no
Modeling and optimization of process parameters for defect toleranced drilling of GFRP composites,"Drilling is a frequently practiced machining process for fiber-reinforced plastics (FRP) in industry owing to the need for component assembly in mechanical structures. Drilling experiments are performed on a (0/ +/- 45/ 90)(2s) 3-mm-thick glass fiber-reinforced laminate using 4-, 6- and 8-mm-diameter HSS drills. The machining response of the quasi-isotropic laminate was studied by monitoring the thrust and torque. The performance of the HSS drills for different cutting conditions was studied by measuring the tool wear. Delamination due to drilling is a major concern in machining a composite laminate and is analyzed by using linear elastic fracture mechanics, classical plate bending theory, and the mechanics of composites. A mechanical model for evaluating the critical thrust at which delamination is initiated at different ply locations has been used, and the critical thrust force at the onset of delamination has been found to be 70 N. The present work analyzes data on the thrust force, torque, and tool life by using a group method data handling (GMDH) algorithm. An optimization algorithm using simulated annealing with a performance index is then applied to search for the optimal process parameters for delaminatien constrained drilling.",2006,10.1080/10426910500411587,no
A methodology for modeling inter-company supply chains and for evaluating a method of integrated product and process documentation,"Due to the increasing complexity in products and in the resulting enterprise processes, new concepts for process optimization are necessary. One innovative concept, resulting from the requirements of the automotive industry, is the method of an integrated product and process documentation. In order to evaluate the benefits of an inter-company use of this documentation approach a simulation-based decision support system using a modular modeling concept for intra- and inter-company process chains has been developed. This concept is based on the Supply Chain Operations Reference-model (SCOR-model). The developed concept allows the evaluation of different configurations of process chains with different sets of parameters describing realistic production and inventory processes. Focussed on supply chains with high variant and complex products within the automotive industry first scenarios have been built up and the benefits of this integrated documentation approach can be visualized. This approach is the future basis for optimization methods coming from control theory. (c) 2005 Elsevier B.V. All rights reserved.",2006,10.1016/j.ejor.2005.02.006,no
Modeling the sensory qualities of processed apples after controlled atmosphere storage and frozen storage,"Durational effects of controlled atmosphere storage (CA) and frozen storage on apple quality were studied for commercially processed pies made from Northern Spy, Idared and Nova Spy apples. Sensory tests on apple pie quality indicated that the duration of apples in CA significantly affected the quality of the processed apple. Extending the CA duration of the apples to 45 weeks resulted in a pie filling with reduced apple flavor, tartness and astringency, and with increased sweetness and off-flavor. To minimize flavor/taste changes throughout the processing season, close attention must be given to the product's sugar/acid formulation: by week 27 for Idared apples and by week 33 for Northern Spy and Novaspy apples. The texture and appearance of processed Novaspy and Idared fruits were affected earlier in CA than Northern Spy apples. The frozen product was relatively stable for all three varieties, especially for apples processed early in the storage season (15-27 weeks). A strategy that utilizes short- to medium-term CA with longer-term frozen storage would optimize quality across the season.",2006,10.1111/j.1745-4557.2006.00060.x,no
Modeling of reconfiguration control applications based on the IEC 61499 reference model for Industrial Process Measurement and Control Systems,"Future manufacturing is envisioned to be highly flexible and adaptable. New technologies for efficient engineering of reconfigurable systems and their adaptations are preconditions for this vision. Without such solutions, engineering adaptations of Industrial Process Measurement and Control Systems (IPMCS) will exceed the costs of engineered systems by far and the reuse of equipment will become inefficient. In this work a new approach for the reconfiguration of IEC 61499 based control application and the corresponding modeling is proposed This new method significantly increases engineering efficiency and reuse in component-based IPMCSs control.",2006,,no
Modelling of manufacturing process complexity,"Gaining momentum in several fields of study is the recognition of the need for a viewpoint that includes the human element as an integral part of the modem production system beyond traditional ergonomics. The ""intellectual capital"" is as much of a resource as money, materials, software and hardware. A model that considers the human players in tandem with the physical elements is needed to provide insights into the sensitivities of the manufacturing system. Using Systems Analysis and Design methods, a framework has been developed, which is valid for different perspectives and environments, to assess the elements of manufacturing complexity. The manufacturing complexity index allows people with diverse backgrounds to rapidly evaluate alternatives and risks with respect to the product, process or operation tasks. In this paper, the technique for evaluating the process complexity metric is presented. An analysis is performed comparing the relative process complexity for a power steering pump bracket that is manufactured in a CNC machining cell and a dedicated line. The areas of complexity are clearly evident. This provides insight for risk assessment as this systematic approach can be used to ""mathematically"" show tradeoffs for each important criterion during the design stages.",2006,10.1007/1-84628-210-1_35,no
Understanding T-ingot horizontal DC casting using process modelling,"Horizontal continuous casting process has been successfully implemented in Alcan for the production of T-ingots of primary aluminium and foundry alloys. Ability to achieve increased productivity targets and reduce production costs relies on a fundamental understanding of key process characteristics and operating parameters. Thanks to the long-standing experience in vertical DC Casting, numerical modelling appeared as a powerful approach to understand phenomena related to metal flow, solidification and ultimately defect formation. As part of a collaborative R&D program, a global model of horizontal casting process, integrating specialized sub-models on critical aspects of the process such as meniscus dynamics, is being developed. Experimental characterization of primary and secondary cooling is performed in parallel with modelling work to provide the information necessary to properly characterize mould heat transfer. This paper will present the development of a 3D process model of T-ingot casting along with its application to solve specific process challenges that have emerged during the first years of production in the plant.",2006,,no
Validation of the hydrological processes in a hydrological model,"Hydrological models are often required to model watersheds where the conditions change over time. Calibration and validation of these models is a difficult process that requires validation of each of the major hydrological processes within the model. This paper presents the calibration, validation, and sensitivity analysis of the WATFLOOD hydrological model. The calibration process is usually based on streamflow and may involve an implicit validation of the hydrological processes when the internal state variables are monitored to ensure that the model operates realistically. This paper presents explicit validations of several internal state variables (soil moisture, evaporation, snow accumulation and snowmelt, and groundwater flow) and the statistical characteristics of the streamflow. The WATFLOOD model is shown to track each of these variables with sufficient accuracy for operational use of the model. In addition, several behavioral sensitivity checks are presented to show that the model behaves in a realistic manner. This paper provides a broadly based methodology for calibration and validation of a distributed hydrological model.",2006,10.1061/(ASCE)1084-0699(2006)11:5(451),no
Recent advances and current problems in modelling surface processes and their interaction with crustal deformation,"I present a brief summary of recent advances in the field of computational geomorphology and various attempts to couple numerical models of landscape evolution to models of crustal/lithospheric deformation. The most commonly used formulations for the various physical processes at play during surface erosion, transport and deposition are presented, as well as an outline of how they have been incorporated in a variety of numerical schemes. I also explain how the coupling between erosion and tectonics has been performed under various simplifying assumptions. Determining, the rate constants for each of the proposed landforming mechanisms remains a difficult challenge that has recently been helped by the advent of new low temperature thermochronometers and exposure dating by cosmogenic radionuclides. I demonstrate how the information contained in the relationship between age and elevation can be used to provide constraints on the 'age' of' a landscape, as well as how important rate information can be extracted from various datasets by using simple modelling techniques. This paper demonstrates why the field of computational geomorphology needs to harmonize the various parameterizations (often the legacy of empirical relationships derived from observations at the human scale), quantitative estimates of the value of the numerous rate parameters and improvement of the numerical techniques.",2006,10.1144/GSL.SP.2006.253.01.16,no
Measuring the impact of a Web-based data query system: The logic model as a tool in the evaluation process,"In brief review of program evaluation perspectives, including the concept of a logic model and its applicability to the evaluation of Web-based data query systems (WDQSs), is presented. A logic model is used to flesh out evaluation components of a WDQS, including inputs, constraints, program activities, program outputs, and outcomes. For each component, a list of potential items is presented for inclusion in the model, along with examples of initial, intermediate, and ultimate outcomes for a WDQS, Program evaluation is a process that is important to conduct both early in WDQS development to promote clarity of its vision and objectives and throughout the course of the WDQS implementation and maintenance to ensure that its objectives are being met. Should the WDQS not be producing desirable results, the logic model provides a road map for understanding which activities are not meeting the WDQS's objectives so that the course of WDQS development, implementation, and maintenance may be altered to improve the probability of reaching desirable outcomes.",2006,,no
Numerical modeling of the transport process of negative-ion plasmas in photodetachment measurement,"In order to measure negative-ion temperature, the experimental result of the negative-ion recovery ratio from the two-laser photodetachment is usually fitted with the theoretical curve derived from the ballistic kinetic theory of negative ions. The particle-in-cell (PIC) code with a one-dimensional slab model has been developed to analyze the effect of the ambipolar electric field, which is neglected in the ballistic theory, on the negative-ion recovery. The preliminary results of the PIC simulation indicate that our PIC code is a useful tool for the analyses of the negative-ion recovery in the photodetachment. (c) 2006 American Institute of Physics.",2006,10.1063/1.2171757,no
A service quality management model based on process approach,"In order to strive towards higher levels of customer satisfaction, managers within service industries need to increasingly construct the quality management system to improve service quality. However, there were few studies paying attention to how to implement a quality management system based on the indicators of proposed service quality scales. Moreover, it is seldom considered that the priority of the indicators maybe vary from one stage to another stage in service processes. If this fact is neglected, then customer requirements may be not met effectively. The proposed model, Quality Train Model (QTM), mainly presents three key concepts as customer focus, process approach, and Deming's wheel. The methodology of QTM consists of six steps: initiating, identifying, planning, implementing, diagnosing and recovering.",2006,,no
Modelling a multitype branching brownian motion: Filtering of a measure-valued process,"In the framework of marked trees, a multitype branching brownian motion, described by measure-valued processes, is studied. By applying the strong branching property, the Markov property and the expression of the generator are derived for the process whose components are the measure-valued processes associated to each type particles. The conditional law of the measure-valued process describing the whole population observing the cardinality of the subpopulation of a given type particles is characterized as the unique weak solution of the Kushner-Stratonovich equation. An explicit representation of the filter is obtained by Feyman-Kac formula using the linearized filtering equation.",2006,10.1007/s10440-006-9014-9,no
Evaluation of the inverse modelling process for heterogeneous porous media through laboratory air injection tests,"In the modelling process, inversion techniques are generally used to estimate unknown parameters. However, we need to determine the model structure and other conditions before solving inverse problems, and there are many alternatives, such as the inversion method, the number of parameters, and the weightings in objective functions. The aim of this study is to discuss the process so that the alternatives can be assessed by evaluating their reliability. Multi-well transient flow tests, such as hydropulse testing, had been proposed for the treatment of heterogeneous media in subsurface flow modelling using data obtained through laboratory air injection tests for a dried heterogeneous sandstone plate. The numerical inversion method includes a quasi-Newton method and an adjoint-state method for pressure change rate matching that can deal with various types of objective functions. Porosity at the injection and observation points can be treated as different unknown parameters. Data quality and quantity are also important factors for the inverse problem. Several injection patterns were carried out to assess the observation pattern. The bootstrap re-sampling method was used to evaluate the reliability of the inversion results. We prefer this method because it is not necessary to assume a probability density function and because the method can estimate prediction errors. Using the estimated reliability indices, we can assess the best model, i.e. the adequate combination of injection pattern and model structure and objective function, etc.",2006,,no
Creating a mathematical model from the realization of the measuring of a transient process of a mechanical system,"In the paper the method of creating the dynamical model of the mechanical system is considered. The transient process measured after the hammer blow is used as input data. Prony method with its improvements is used for the estimation of unknown parameters of the model. Using the FFT and IFFT procedures the sample data is decomposed into two parts: a high frequency component and a low frequency component. Each part is investigated separately. While the high frequency component was modeled by using a simple six poles model, the low frequency component was modeled by a single multiple pole. The correctness of the model was checked by RMSE criteria. The RMSE of the low frequency component model versus the multiplicity of the pole was investigated. The results show good agreement with experimental data. The full final model was used to get the amplitude-frequency response of the system.",2006,,no
