Authors,Document Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,label,Other predictin,Page count,Cited by,DOI,PDF Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Kallergis D., Tsantilis J., Douligeris C.",Performance evaluation of cloud systems: A behavioural approach,2015,"2015 IEEE International Symposium on Signal Processing and Information Technology, ISSPIT 2015",,,7394370,409,414,no,,,,10.1109/ISSPIT.2015.7394370,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963900708&doi=10.1109%2fISSPIT.2015.7394370&partnerID=40&md5=b17a9cb65c13115228867662c4d12b53,"Dept. of Informatics, University of Piraeus, 80, Karaoli Dimitriou Street, Piraeus, Greece","Kallergis, D., Dept. of Informatics, University of Piraeus, 80, Karaoli Dimitriou Street, Piraeus, Greece; Tsantilis, J., Dept. of Informatics, University of Piraeus, 80, Karaoli Dimitriou Street, Piraeus, Greece; Douligeris, C., Dept. of Informatics, University of Piraeus, 80, Karaoli Dimitriou Street, Piraeus, Greece","The concept of Cloud Engineering (CE) as a superset of performance engineering emerges in an extensive number of industrial architectural approaches and implementation flavours. To effectively manage cloud-based systems, it is crucial to monitor, to meter and then to allocate their structural behaviour and performance. In the context of this work, considerable number of experimental measurements are conducted in a distributed virtualised infrastructure and statistically analysed. The paper aims to evaluate cloud systems using multiple open-source benchmarking tools. Also, it addresses and discusses operational deviations of a commercial cloud system in respect to the service level objects (SLOs) per se. Â© 2015 IEEE.",benchmarking; performance; statistical,Conference Paper,Scopus,2-s2.0-84963900708
"Kadam A.K., Joshi S.D., Bhattacharyya D., Kim H.-J.",Software superiority achievement through functional point and test point analysis,2016,International Journal of Software Engineering and its Applications,10,11,,181,192,no,,,,10.14257/ijseia.2016.10.11.16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007035069&doi=10.14257%2fijseia.2016.10.11.16&partnerID=40&md5=32968e7168609592bf024f06621a057b,"Bharati Vidyapeeth University College of Engineering, Pune, India; Department of Computer Science and Engineering, Vignan's Institute of Information Technology, Visakhapatnam, India; Sungshin Women's University, 2 Bomun-ro 34da-gil, Seongbuk-gu, Seoul, South Korea","Kadam, A.K., Bharati Vidyapeeth University College of Engineering, Pune, India; Joshi, S.D., Bharati Vidyapeeth University College of Engineering, Pune, India; Bhattacharyya, D., Department of Computer Science and Engineering, Vignan's Institute of Information Technology, Visakhapatnam, India; Kim, H.-J., Sungshin Women's University, 2 Bomun-ro 34da-gil, Seongbuk-gu, Seoul, South Korea",Software cost estimation is the important activity while the development of the software. Expenditure assessment is bit complex task as it can be affected by many factors. This factors aids in the calculating of maintenance cost of software. In this paper we have implemented the function point analysis and test point analysis in order to discover the maintenance cost. This is accomplished by using the various techniques to calculate the function point analysis and test point analysis. Along with the calculation of maintenance cost we have also presented the module to assess the reliability of the software from the context of white box testing. Software reliability growth models are aids to evaluate the reliability of the software. This paper presented the analysis of code based SRGM to estimate the reliability. Â© 2016 SERSC.,Function point analysis (FPA); Software reliability; Software reliability growth model; Test point analysis (TPA),Article,Scopus,2-s2.0-85007035069
"Jun G., Yongming Y., Bin Z., Qingmin M.",SLA-oriented research on prediction and evaluation of service components performance,2015,"Proceedings - 2015 12th Web Information System and Application Conference, WISA 2015",,,7396623,136,141,no,,,,10.1109/WISA.2015.33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964247525&doi=10.1109%2fWISA.2015.33&partnerID=40&md5=bc7850eed9a8ba81bb19285f8125f4b4,"College of Information Science and Engineering, Northeastern University, Shenyang, China","Jun, G., College of Information Science and Engineering, Northeastern University, Shenyang, China; Yongming, Y., College of Information Science and Engineering, Northeastern University, Shenyang, China; Bin, Z., College of Information Science and Engineering, Northeastern University, Shenyang, China; Qingmin, M., College of Information Science and Engineering, Northeastern University, Shenyang, China","The application services which deployed in cloud environment have some characteristics, such as the variability of concurrent requests and the differences of resource demands among components, which bring certain influence on service performance even cause some potential problems. Therefore, making an effective service performance prediction mechanism has become a research hotspot for application services based cloud service components. This paper proposes SLA-oriented research on prediction of service component and introduces the fundamental process of performance prediction. It adopts the non-negative matrix factorization method for performance prediction and makes an evaluation on component performance. The experiment result indicates the method in this paper is feasible and valid, and the accuracy is higher than the traditional approaches. Â© 2015 IEEE.",Cloud service component; Non-negative matrix factorization; Performance prediction; Response time sequence,Conference Paper,Scopus,2-s2.0-84964247525
"Joy J., Rajwade S., Gerla M.",Participation cost estimation: Private versus non-private study,2016,"2016 Mediterranean Ad Hoc Networking Workshop, Med-Hoc-Net 2016 - 15th IFIP MEDHOCNET 2016",,,7528423,,,no,,,,10.1109/MedHocNet.2016.7528423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992163047&doi=10.1109%2fMedHocNet.2016.7528423&partnerID=40&md5=b3acafb680351df6e1ab60217d6b5699,"UCLA, United States","Joy, J., UCLA, United States; Rajwade, S., UCLA, United States; Gerla, M., UCLA, United States","In our study, we seek to learn the real-time crowd levels at popular points of interests based on users continually sharing their location data. We evaluate the benefits of users sharing their location data privately and non-privately, and show that suitable privacy-preserving mechanisms provide incentives for user participation in a private study as compared to a non-private study. Â© 2016 IEEE.",,Conference Paper,Scopus,2-s2.0-84992163047
Jorgensen M.,A survey on the characteristics of projects with success in delivering client benefits,2016,Information and Software Technology,78,,,83,94,no,,,,10.1016/j.infsof.2016.05.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971643798&doi=10.1016%2fj.infsof.2016.05.008&partnerID=40&md5=8431616f5b108c14524aae8a0f929bc8,"Simula Research Laboratory, P.O. Box 134, Lysaker, Norway","JÃ¸rgensen, M., Simula Research Laboratory, P.O. Box 134, Lysaker, Norway","Context A large waste of resources in software development projects currently results from being unable to produce client benefits. Objective The main objective is to better understand the characteristics of successful software projects and contribute to software projects that are more likely to produce the planned client benefits. Method We asked 63 Norwegian software professionals, representing both the client and the provider role, to report information about their last completed project. In a follow-up survey with 64 Norwegian software professionals, we addressed selected findings from the first survey. Results The analysis of the project information showed the following: i) The project management triangle criteria of being on time, on budget, and having the specified functionality are poor correlates of the essential success dimension client benefits. ii) Benefit management planning before the project started and benefit management activities during project execution were connected with success in delivering client benefits. iii) Fixed-price projects and projects in which the selection of providers had a strong focus on low price were less successful in delivering project benefits than other projects. iv) Agile projects were in general more successful than other projects, but agile projects without flexible scope to reflect changed user needs and learning, or without frequent delivery to the client, had less than average success in delivering client benefits. Conclusions The software projects that were successful in delivering client benefits differed from the less successful ones in several ways. In particular, they applied benefit management practices during project execution, they avoided fixed-price contracts, they had less focus on low price in the selection of providers, and they applied the core agile practices - frequent delivery to the client and scope flexibility. Â© 2016 Elsevier B.V. All rights reserved.",Client benefits; Project success factors; Software projects; Survey,Article,Scopus,2-s2.0-84971643798
Jorgensen M.,The effect of the time unit on software development effort estimates,2015,"SKIMA 2015 - 9th International Conference on Software, Knowledge, Information Management and Applications",,,7399992,,,no,,,,10.1109/SKIMA.2015.7399992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964685756&doi=10.1109%2fSKIMA.2015.7399992&partnerID=40&md5=be9382e6e124f74cf32edc4123041e97,"Simula Research Laboratory, Norway; Kathmandu University, Nepal; University of Oslo, Norway","Jorgensen, M., Simula Research Laboratory, Norway, Kathmandu University, Nepal, University of Oslo, Norway","Estimates of software development effort are frequently inaccurate and over-optimistic. In this paper we describe how changes in the granularity of the unit of estimation, e.g., work-days instead of work-hours, affects the effort estimates. We describe four psychological mechanisms, how they interact and discuss the expected total effect of higher granularity units on effort estimates. We argue that the mechanisms in general imply that higher granularity effort units will result in higher effort estimates, e.g., that estimating software development work in work-days or weeks will lead to higher estimates than when estimating in work-hours. A possible implication of this predicted effect is that, in contexts where there is a tendency towards under-estimation, estimation in work-days or weeks instead of work-hours leads to more realistic estimates. Â© 2015 IEEE.",cost estimation; human judgment; psychology,Conference Paper,Scopus,2-s2.0-84964685756
"Johri P., Nasar M., Das S., Kumar M.",Open source software reliability growth models for distributed environment based on component-specific testing-efforts,2016,ACM International Conference Proceeding Series,04-05-March-2016,, a75,,,no,,,,10.1145/2905055.2905283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988601023&doi=10.1145%2f2905055.2905283&partnerID=40&md5=d200e5220e17596a8bebf076ab311357,"School of Computing Science and Engg, Galgotias University Gr. Noida, India","Johri, P., School of Computing Science and Engg, Galgotias University Gr. Noida, India; Nasar, M., School of Computing Science and Engg, Galgotias University Gr. Noida, India; Das, S., School of Computing Science and Engg, Galgotias University Gr. Noida, India; Kumar, M., School of Computing Science and Engg, Galgotias University Gr. Noida, India","Because of availability, redistributable, affordability, modifiability, of source code, free and no restriction in choice, open source is a favorite platform for lot of software industries and peoples, who consider using the power of extremely reliable and superior quality software. Numeouus SRGMs have been proposed to estimate the reliability of the software of OSSs; however, no one has proven to perform very well considering diverse project characteristics. In the models for OSSs, the error deletion experience for the reused and the newly developed components based on component-specific testing-effort is demonstrated. It is considered that there are several different types of faults for newly developed component and single type of faults for reused components for obtaining the unambiguous expressions for the mean number of individual types of errors. For OSSs system components testing-efforts have to be modeled separately for each and every component in the system. The total effort of the system is then calculated from the summation of component-specific testing-effort functions. We have employed MATLAB as implementation framework for performing all the estimations. Our approach partitions the testing effort with growth curves of varying nature among different components of the same OSS. To validate our analytical results, numerical illustrations have also been provided. Â© 2016 ACM.",Distributed development environment (DDE); Non Homogeneous Poisson Process (NHPP); Open Source Software (OSS); Software Reliability Growth Models (SRGMs).; Testing-effort function (TEF),Conference Paper,Scopus,2-s2.0-84988601023
"Johnson P., LagerstrÃ¶m R., Franke U., Ekstedt M.",Modeling and analyzing systems-of-systems in the Multi-Attribute Prediction Language (MAPL),2016,"Proceedings - 4th International Workshop on Software Engineering for Systems-of-Systems, SESoS 2016",,,,1,7,no,,,,10.1145/2897829.2897830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974573846&doi=10.1145%2f2897829.2897830&partnerID=40&md5=cb2a7e9c2832015edb7801e6ad519ac4,"Royal Institute of Technology, Stockholm, Sweden; Royal Institute of Technology Stockholm, Sweden; SICS Swedish ICT, Kista, Sweden","Johnson, P., Royal Institute of Technology, Stockholm, Sweden; LagerstrÃ¶m, R., Royal Institute of Technology Stockholm, Sweden; Franke, U., SICS Swedish ICT, Kista, Sweden; Ekstedt, M., Royal Institute of Technology, Stockholm, Sweden","The Multi-Attribute Prediction Language (MAPL), an analysis metamodel for non-functional qualities of systems-ofsystems, is introduced. MAPL features analysis in five nonfunctional areas: service cost, service availability, data accuracy, application coupling, and application size. In addition, MAPL explicitly includes utility modeling to make tradeoffs between the qualities. The paper introduces how each of the five non-functional qualities is modeled and quantitatively analyzed based on the ArchiMate standard for enterprise architecture modeling and the previously published Predictive, Probabilistic Architecture Modeling Framework, building on the well-known UML and OCL formalisms. The main contribution of MAPL lies in combining all five nonfunctional analyses into a single unified framework. Â© 2016 ACM.",Architecture analysis; Architecture modeling; Systems-of-systems architecture,Conference Paper,Scopus,2-s2.0-84974573846
"Jing X.-Y., Qi F., Wu F., Xu B.",Missing data imputation based on low-rank recovery and semi-supervised regression for software effort estimation,2016,Proceedings - International Conference on Software Engineering,14-22-May-2016,,,607,618,no,,,1,10.1145/2884781.2884827,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971422020&doi=10.1145%2f2884781.2884827&partnerID=40&md5=ccf322a53bbf1ec3af7eda7e5946f4f7,"State Key Laboratory of Software Engineering, School of Computer, Wuhan University, China; School of Automation, Nanjing University of Posts and Telecommunications, China; Department of Computer Science and Technology, Nanjing University, China","Jing, X.-Y., State Key Laboratory of Software Engineering, School of Computer, Wuhan University, China, School of Automation, Nanjing University of Posts and Telecommunications, China; Qi, F., State Key Laboratory of Software Engineering, School of Computer, Wuhan University, China; Wu, F., State Key Laboratory of Software Engineering, School of Computer, Wuhan University, China, School of Automation, Nanjing University of Posts and Telecommunications, China; Xu, B., State Key Laboratory of Software Engineering, School of Computer, Wuhan University, China, Department of Computer Science and Technology, Nanjing University, China","Software effort estimation (SEE) is a crucial step in software development. Effort data missing usually occurs in real-world data collection. Focusing on the missing data problem, existing SEE methods employ the deletion, ignoring, or imputation strategy to address the problem, where the imputation strategy was found to be more helpful for improving the estimation performance. Current imputation methods in SEE use classical imputation techniques for missing data imputation, yet these imputation techniques have their respective disadvantages and might not be appropriate for effort data. In this paper, we aim to provide an effective solution for the effort data missing problem. Incompletion includes the drive factor missing case and effort label missing case. We introduce the low-rank recovery technique for addressing the drive factor missing case. And we employ the semi-supervised regression technique to perform imputation in the case of effort label missing. We then propose a novel effort data imputation approach, named low-rank recovery and semisupervised regression imputation (LRSRI). Experiments on 7 widely used software effort datasets indicate that: (1) the proposed approach can obtain better effort data imputation effects than other methods; (2) the imputed data using our approach can apply to multiple estimators well. Â© 2016 ACM.",Drive factor missing case; Effort label missing case; Low-rank recovery and semi-supervised regression imputation (LRSRI); Missing data problem; Software effort estimation,Conference Paper,Scopus,2-s2.0-84971422020
"Jeong E.-J., Jeong S.-R.",Development and application of a stage-gate process to reduce the unerlying risks of it service projects,2016,Journal of Theoretical and Applied Information Technology,93,2,,233,245,no,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001968687&partnerID=40&md5=a1be3f0db8c7cc8c165144bc7c87bcc2,"Kookmin University, Graduate School of Business IT, Seoul, South Korea","Jeong, E.-J., Kookmin University, Graduate School of Business IT, Seoul, South Korea; Jeong, S.-R., Kookmin University, Graduate School of Business IT, Seoul, South Korea","Recently IT service projects have increased to introduce new technology as like data analytics, IoT (Internet of Things), cloud and mobile computing and to change or improve business process of finance, manufacturing, service, and government and public organizations, but lots of projects were failed due to cost-overrun, schedule delay, and fail to pass user acceptance test on time, and fail to align companyâ€™s objective and strategy. There are several critical factors of project failure, for example, incorrect project cost estimation, lack of enterprise-wide risk management, unfair contract agreement, and missing or incomplete user requirements, and low quality level of design and development, and lack of user participation or cooperation for user requirement definitions and user acceptance test. To prevent the critical risk factors of project, the risks should be identified and assessed during project lifecycle, and report to project governance board, and the project governance board should make the Go/No-Go decision at the end of each project stage. The purpose of this thesis is to develop the project SGP(Stage-Gate Process) for enterprise-wide risk management structure to reduce the project failure rate, and for helping to achieve the companyâ€™s objective and strategy, and then to verify the effectiveness of the project SGP through application of the SGP to actual IT service projects. We can aware the SGP is very useful to reduce the failure rate of project through preventing the costoverrun, schedule delay, and failure to pass for user acceptance test. The SGP is consisting of assessment of deliverable by project management office and quality assurance, and Go/No-Go decision making based on quality criteria by executives for enterprise-wide risk and quality management at the end of each project stage. And we confirmed the effectiveness of SGP through FGI (Focus Group Interview), the result show that the SGP is very useful to manage cost, risk, and quality, but the effectiveness of SGP is dependent on companyâ€™s project governance structure and process, and project governance boardâ€™s attention and support to the SGP process. Â© 2005-2016 JATIT & LLS. All rights reserved.",It service project; Project governance board; Project management office; Project stakeholder; Risk management; Stage-gate process,Article,Scopus,2-s2.0-85001968687
"Jensen U., Kugler P., Ring M., Eskofier B.M.",Approaching the accuracyâ€“cost conflict in embedded classification system design,2016,Pattern Analysis and Applications,19,3,,839,855,no,,,,10.1007/s10044-015-0503-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977576782&doi=10.1007%2fs10044-015-0503-1&partnerID=40&md5=ebd5ec9e2733c7a976f1ae0b4a10f060,"Digital Sports Group, Pattern Recognition Lab, Friedrich-Alexander-UniversitÃ_t Erlangen-NÃ_rnberg (FAU), Haberstr. 2, Erlangen, Germany","Jensen, U., Digital Sports Group, Pattern Recognition Lab, Friedrich-Alexander-UniversitÃ_t Erlangen-NÃ_rnberg (FAU), Haberstr. 2, Erlangen, Germany; Kugler, P., Digital Sports Group, Pattern Recognition Lab, Friedrich-Alexander-UniversitÃ_t Erlangen-NÃ_rnberg (FAU), Haberstr. 2, Erlangen, Germany; Ring, M., Digital Sports Group, Pattern Recognition Lab, Friedrich-Alexander-UniversitÃ_t Erlangen-NÃ_rnberg (FAU), Haberstr. 2, Erlangen, Germany; Eskofier, B.M., Digital Sports Group, Pattern Recognition Lab, Friedrich-Alexander-UniversitÃ_t Erlangen-NÃ_rnberg (FAU), Haberstr. 2, Erlangen, Germany","Smart embedded systems often run sophisticated pattern recognition algorithms and are found in many areas like automotive, sports and medicine. The developer of such a system is often confronted with the accuracyâ€“cost conflict as the resulting system should be as accurate as possible while being able to run on resource constraint hardware. This article introduces a method to support the solution of this design conflict with accuracyâ€“cost reports. These reports compare classification systems regarding their classification rate (accuracy) and the mathematical operations and parameters of the working phase (cost). Our method is used to deduce the specific cost of various popular pattern recognition algorithms and to derive the overall cost of a classification system. We also show how our analysis can be used to estimate the computational cost for specific hardware architectures. A software toolbox to create accuracyâ€“cost reports was implemented to facilitate the automatic classification system comparison with the presented methodology. The software is available for download and as supplementary material. We performed different experiments on synthetic and real-world data to underline the value of this analysis. Accurate and computationally cheap classification systems were easily identified. We were even able to find a better implementation candidate in an existing embedded classification problem. This work is the first step towards a comprehensive support tool for the design of embedded classification systems. Â© 2015, Springer-Verlag London.",Classification system design; Cost estimation; Machine learning; Real-time systems,Article,Scopus,2-s2.0-84977576782
"Jeavons C.E., Baldwin J.S., McGourlay J., Purshouse R.C.",A value- ocussed decision framework for manufacturing research environments,2016,Advances in Transdisciplinary Engineering,4,,,662,671,no,,,,10.3233/978-1-61499-703-0-662,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993929254&doi=10.3233%2f978-1-61499-703-0-662&partnerID=40&md5=aeb87fcadbf46f68aa97fd584d9d5c92,"IDC in Machining Science, AMRC with Boeing, University of Sheffield, United Kingdom; AMRC with Boeing, University of Sheffield, United Kingdom; Manufacturing Technology, Rolls-Royce plc, United Kingdom; Department of Automatic Control and Systems Engineering, University of Sheffield, United Kingdom","Jeavons, C.E., IDC in Machining Science, AMRC with Boeing, University of Sheffield, United Kingdom; Baldwin, J.S., AMRC with Boeing, University of Sheffield, United Kingdom; McGourlay, J., Manufacturing Technology, Rolls-Royce plc, United Kingdom; Purshouse, R.C., Department of Automatic Control and Systems Engineering, University of Sheffield, United Kingdom","Industrial research centres have a requirement to deliver new products, technologies and processes which can be applied in manufacturing environments. The dynamic nature of these centres has attracted a growing need from industry for value-focussed decision based systems to be in place that include accurate and reliable cost estimation techniques. A holistic solution which is able to manage the dynamic and complex nature of knowledge within these environments is required. This paper offers the potential to provide a solution for a value-focussed cost estimation and decision framework capable of supporting technology selection within these environments. Â© 2016 The authors and IOS Press.",Cost engineering; Decision making; Uncertainty,Conference Paper,Scopus,2-s2.0-84993929254
JÃ¸rgensen M.,Unit effects in software project effort estimation: Work-hours gives lower effort estimates than workdays,2016,Journal of Systems and Software,117,,,274,281,no,,,,10.1016/j.jss.2016.03.048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962427440&doi=10.1016%2fj.jss.2016.03.048&partnerID=40&md5=7d02d67e8d1799bfb49c7159da570952,"Simula Research Laboratory, Norway","JÃ¸rgensen, M., Simula Research Laboratory, Norway","Software development effort estimates are typically expert judgment-based and too low to reflect the actual use of effort. Our goal is to understand how the choice of effort unit affects expert judgement-based effort estimates, and to use this knowledge to increase the realism of effort estimates. We conducted two experiments where the software professionals were randomly instructed to estimate the effort of the same projects in work-hours or in workdays. In both experiment, the software professionals estimating in work-hours had much lower estimates (on average 33%-59% lower) than those estimating in workdays. We argue that the unitosity effect - i.e., that we tend to infer information about the quantity from the choice of unit - is the main explanation for the large difference in effort estimates. A practical implication of the unit effect is that, in contexts where there is a tendency toward effort under estimation, the instruction to estimate in higher granularity effort units, such as workdays instead of work-hours, is likely to lead to more realistic effort estimates. Â© 2016 Elsevier Inc. All rights reserved.",Effort estimation; Effort unit; Judgment bias,Article,Scopus,2-s2.0-84962427440
JÃ¸rgensen M.,The use of precision of software development effort estimates to communicate uncertainty,2016,Lecture Notes in Business Information Processing,238,,,156,168,no,,,,10.1007/978-3-319-27033-3_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952683979&doi=10.1007%2f978-3-319-27033-3_11&partnerID=40&md5=11efee615acbda3387dac72646049818,"Simula Research Laboratory, Fornebu, Norway","JÃ¸rgensen, M., Simula Research Laboratory, Fornebu, Norway","The precision of estimates may be applied to communicate the uncertainty of required software development effort. The effort estimates 1000 and 975 work-hours, for example, communicate different levels of expected estimation accuracy. Through observational and experimental studies we found that software professionals (i) sometimes, but not in the majority of the examined projects, used estimate precision to convey effort uncertainty, (ii) tended to interpret overly precise, inaccurate effort estimates as indicating low developer competence and low trustworthiness of the estimates, while too narrow effort prediction intervals had the opposite effect. This difference remained even when the actual effort was known to be outside the narrow effort prediction interval. We identified several challenges related to the use of the precision of single value estimates to communicate effort uncertainty and recommend that software professionals use effort prediction intervals, and not the preciseness of single value estimates, to communicate effort uncertainty. Â© Springer International Publishing Switzerland 2016.",Estimate precision; Estimation uncertainty; Human judgment; Software cost estimation,Conference Paper,Scopus,2-s2.0-84952683979
"Ismail U.M., Islam S., Islam S.",Towards cloud security monitoring: A case study,2016,"Proceedings - 2016 Cybersecurity and Cyberforensics Conference, CCC 2016",,,7600203,8,14,no,,,,10.1109/CCC.2016.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994829900&doi=10.1109%2fCCC.2016.8&partnerID=40&md5=f4d8485c7ea870d4454ee6c0eecf3445,"School of Architecture, Computing and Engineering, University of East London, London, United Kingdom","Ismail, U.M., School of Architecture, Computing and Engineering, University of East London, London, United Kingdom; Islam, S., School of Architecture, Computing and Engineering, University of East London, London, United Kingdom; Islam, S., School of Architecture, Computing and Engineering, University of East London, London, United Kingdom","Cloud computing has become the norm in the provisioning of computing resources due to its flexible and proven reliability. Businesses perceive cloud services as a trend that presents enormous possibilities both in economic and technical terms. The growth in cloud services have also increased bottlenecks and security risks to business assets. Cloud security monitoring has remained relatively unexplored in security terms, a factor that has led businesses to be oblivious on the metrics to capture and the appropriate techniques to use. In this paper, we explore security monitoring in terms of tracking specific user requirements based on a case study. We identify various security tools that are practically relevant for addressing the requirements, and devise selection criteria for choosing the best tools. We present an evaluation of the tools and present a ranking for the tools that meet the particular requirements of the case study. The effort in this paper broadens the notion of cloud security monitoring and provides a methodical practical approach to solving a security related issue. Â© 2016 IEEE.",Cloud Computing; Monitoring; Security Monitoring,Conference Paper,Scopus,2-s2.0-84994829900
"Ishii N., Takano Y., Muraki M.",A dynamic scheduling problem in cost estimation process of EPC projects,2016,"SIMULTECH 2016 - Proceedings of the 6th International Conference on Simulation and Modeling Methodologies, Technologies and Applications",,,,187,194,no,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991225588&partnerID=40&md5=5cd4874968650d6b88fed7ab730a0ca2,"Faculty of Engineering, Kanagawa University, 3-27-1 Rokkakubashi, Kanagawa-ku, Yokoham, Japan; School of Network Information, Senshu University, 2-1-1, Higashimita, Tama-ku, Kawasaki, Kanagawa, Japan; Graduate School of Decision Science and Technology, Tokyo Institute of Technology, Tokyo, Japan","Ishii, N., Faculty of Engineering, Kanagawa University, 3-27-1 Rokkakubashi, Kanagawa-ku, Yokoham, Japan; Takano, Y., School of Network Information, Senshu University, 2-1-1, Higashimita, Tama-ku, Kawasaki, Kanagawa, Japan; Muraki, M., Graduate School of Decision Science and Technology, Tokyo Institute of Technology, Tokyo, Japan","The cost estimation process, carried out by the contractor before the start of a project, is a critical activity for the contractor in accepting profitable EPC projects in competitive bidding situations. Thus, the contractor should devote significant time and resources to the accurate cost estimation of project orders from clients. However, it is impossible for any contractor to devote enough time and resources to all the orders because such resources are usually limited. For this reason, the contractor must dynamically decide bid or no-bid on the orders at each order arrival, and allocate the limited resources to the chosen orders. To maximize the contractor,s profits, this study devises a heuristic scheduling method for dynamically selecting orders and allocating the limited resources to them, on the basis of the resource requirement of the order, the contractor,s resource utilization, and the expected profit from the order. The effectiveness of our method is demonstrated through simulation experiments using a project cost estimation process model. Â© Copyright 2016 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",Competitive Bidding; Discrete Event Simulation; Project Selection; Resource Allocation,Conference Paper,Scopus,2-s2.0-84991225588
"Irshad M., Torkar R., Petersen K., Afzal W.",Capturing cost avoidance through reuse: Systematic literature review and industrial evaluation,2016,ACM International Conference Proceeding Series,01-03-June-2016,, a35,,,no,,,,10.1145/2915970.2915989,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978540065&doi=10.1145%2f2915970.2915989&partnerID=40&md5=96a74756ff73edff71ce2026000abd20,"Blekinge Institute of Technology, Karlskrona, Sweden; Chalmers University of Technology, Gothenburg, Sweden; Malardalen University, Box 883, VÃ_steras, Sweden","Irshad, M., Blekinge Institute of Technology, Karlskrona, Sweden; Torkar, R., Chalmers University of Technology, Gothenburg, Sweden; Petersen, K., Blekinge Institute of Technology, Karlskrona, Sweden; Afzal, W., Malardalen University, Box 883, VÃ_steras, Sweden","Background: Cost avoidance through reuse shows the benefits gained by the software organisations when reusing an artefact. Cost avoidance captures benefits that are not captured by cost savings e.g. spending that would have increased in the absence of the cost avoidance activity. This type of benefit can be combined with quality aspects of the product e.g. costs avoided because of defect prevention. Cost avoidance is a key driver for software reuse. Objectives: The main objectives of this study are: (1) To assess the status of capturing cost avoidance through reuse in the academia; (2) Based on the first objective, propose improvements in capturing of reuse cost avoidance, integrate these into an instrument, and evaluate the instrument in the software industry. Method: The study starts with a systematic literature review (SLR) on capturing of cost avoidance through reuse. Later, a solution is proposed and evaluated in the industry to address the shortcomings identified during the systematic literature review. Results: The results of a systematic literature review describe three previous studies on reuse cost avoidance and show that no solution, to capture reuse cost avoidance, was validated in industry. Afterwards, an instrument and a data collection form are proposed that can be used to capture the cost avoided by reusing any type of reuse artefact. The instrument and data collection form (describing guidelines) were demonstrated to a focus group, as part of static evaluation. Based on the feedback, the instrument was updated and evaluated in industry at 6 development sites, in 3 different countries, covering 24 projects in total. Conclusion: The proposed solution performed well in industrial evaluation. With this solution, practitioners were able to do calculations for reuse costs avoidance and use the results as decision support for identifying potential artefacts to reuse. Â© 2016 ACM.",Cost avoidance; Cost savings; Software reuse,Conference Paper,Scopus,2-s2.0-84978540065
"Imtiaz A., Burger T., Krenge J.",Value estimation framework for collaborative knowledge workspaces,2010,"2010 IEEE International Technology Management Conference, ICE 2010",,,7477039,,,no,,,,10.1109/ICE.2010.7477039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978119366&doi=10.1109%2fICE.2010.7477039&partnerID=40&md5=891898a2609cf5480bbed41cc15badb4,"Forschungsinstitut fÃ_r Rationalisierung E.V., Pontdriesch 14/16, Aachen, Germany; Salzburg Research, Jakob-Haringer-Str. 5/III, Salzburg, Austria","Imtiaz, A., Forschungsinstitut fÃ_r Rationalisierung E.V., Pontdriesch 14/16, Aachen, Germany; Burger, T., Salzburg Research, Jakob-Haringer-Str. 5/III, Salzburg, Austria; Krenge, J., Forschungsinstitut fÃ_r Rationalisierung E.V., Pontdriesch 14/16, Aachen, Germany","The paper presents an implementation of EVEKS, a framework developed for value estimation within enterprise knowledge workspaces. The core of the paper is to show EVEKS in a scenario to illustrate its application in an enterprise. For that purpose, a scenario will be created and all steps of EVEKS will be executed. In the first pillar, functionalities of the software about to be deployed will be identified. Afterwards assets in the company being value drivers will be generated and set into relation to the functionalities in the second pillar. The third pillar consists of a weighting of the interrelations found in the pillar before. The last pillar performed in this section will be pillar 4, the assessment of the value of the ontology. Â© 2010 IEEE.",Collaboration; Enterprise; Value; Workspaces,Conference Paper,Scopus,2-s2.0-84978119366
