Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,label,Issue Date,Meeting Date,Publisher,Document Identifier
Indicator-system based adaptive information assurance evaluation for aeronautical information system,Z. Wu; D. Zhao; Y. Peng,"Tianjin Key Laboratory for Advanced Signal Processing, Civil Aviation University of China, China, 300300",2010 IEEE International Conference on Intelligent Computing and Intelligent Systems,20101206,2010,1,,14,17,"With the consideration of the system features, an indicator system of information assurance for aeronautical information system is established. The indicator system is based on SSE (Systems Security Engineering) theory, and DSC (Dynamic System Control) method. The indicator system is established from four aspects, stratagem, technique, management and engineering. Fuzzy-AHP (Analytic Hierarchy Process) is used to evaluate the static indicators. A quite good result is got.",,Electronic:978-1-4244-6585-9; POD:978-1-4244-6582-8,10.1109/ICICISYS.2010.5658434,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5658434,DSC method;Fuzzy-AHP;SSE;aeronautical information system;indicator system,Bismuth;Software,aerospace computing;decision making;fuzzy set theory;information systems;security of data,adaptive information assurance evaluation;aeronautical information system;analytic hierarchy process;dynamic system control;fuzzy AHP;indicator system;systems security engineering,,0,,7,,no,29-31 Oct. 2010,,IEEE,IEEE Conference Publications
Influence factor analysis of product development process,K. Zhang; B. Guo,"Department of System Engineering, College of information system and management, National University of Defense Technology, Changsha, Hunan, China, 410073",2010 IEEE International Conference on Industrial Engineering and Engineering Management,20101223,2010,,,2361,2365,"In the product development process considering design iteration, it's more difficult to reflect interrelationship between variables with simulation analysis. Especially there is no certain function expressing the effect of parameter interrelationship on the product development time. The existence of iteration complicates the structure of analytic model, and the metamodel can simplify the problem and reduce the costs. The paper analyzed the impact of the parameters on average completion time of product development in design structure maxim by building the metamodel, and identified the main impact factors.",2157-3611;21573611,Electronic:978-1-4244-8503-1; POD:978-1-4244-8501-7; USB:978-1-4244-8502-4,10.1109/IEEM.2010.5674356,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5674356,design iteration;influence factor;metamodel;product development process,Assembly;Optimized production technology;Software;Training,iterative methods;product development,design iteration;influence factor analysis;parameter interrelationship;product development process,,0,,12,,no,7-10 Dec. 2010,,IEEE,IEEE Conference Publications
Information Security Risk Assessment Methodology Research: Group Decision Making and Analytic Hierarchy Process,Z. Xinlan; H. Zhifang; W. Guangfu; Z. Xin,"Sch. of Econ. & Manage., China Univ. of Geosci., Wuhan, China",2010 Second World Congress on Software Engineering,20110222,2010,2,,157,160,"Information security risk can be measured by probability of the potential risk incident and its impact. Various quantitative methodologies are given to compute information security risks, but among the existed research, seldom of them considered the difficulties of obtaining data of risk probability and risk impact. Considering the efficiency and operability of collecting data, as well as the effectiveness of output for risk management support, this paper presents a risk assessment methodology for information systems security with the application of group decision making and analytic hierarchy process methods. Procedure of this methodology is provided, and a test case is given to illustrate the effectiveness of this methodology.",,Electronic:978-0-7695-4303-1; POD:978-1-4244-9287-9,10.1109/WCSE.2010.55,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5718368,analytic hierarchy process;group decision making;information security;risk assessment,Decision making;Equations;Information security;Mathematical model;Risk management,decision making;risk management;security of data,analytic hierarchy process method;group decision making;information security risk assessment methodology;risk impact;risk management;risk probability,,2,,11,,no,19-20 Dec. 2010,,IEEE,IEEE Conference Publications
Information support of corporate governance and strategic management using analytical software,D. Isaev,"Business Analytics Department, Higher School of Economics (HSE), Moscow, Russian Federation",2010 IEEE International Conference on Intelligent Computing and Intelligent Systems,20101206,2010,3,,44,48,"In the paper an information aspect of corporate governance and strategic management is considered. Relying on analysis of merits and limitations of current developments the concept of performance management information support system and the appropriate modeling approach are proposed. Finally, the possibilities of use of analytical information systems for corporate governance and strategic management are discussed.",,Electronic:978-1-4244-6585-9; POD:978-1-4244-6582-8,10.1109/ICICISYS.2010.5658550,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5658550,analytical applications;business intelligence;corporate governance;performance management systems;strategic management,Analytical models;Biological system modeling;Economics;Industries;Organizations;Personnel;Predictive models,competitive intelligence;information systems;strategic planning,analytical information system;analytical software;business intelligence;corporate governance;information support;performance management;strategic management,,1,,15,,no,29-31 Oct. 2010,,IEEE,IEEE Conference Publications
Innovative video analytics for maritime surveillance,A. Samama,"Automatic Sea Vision, S&#x00E8;vres, France",2010 International WaterSide Security Conference,20110314,2010,,,1,8,"In this paper, we are presenting a new software dedicated to maritime surveillance and security named AUTOMATIC SEA VISION<sup>å¨</sup> (ASV) (Waquet, 2007) ASV is the first entirely automatic optical software processing (video analytics) providing a smart solution to maritime safety and security issues, whether the intended use is for applications on board ships, or for protection of critical coastal areas and port facilities. The software processes in real time the output from multiple sensors (mainly IR camera, but also GPS, Inertial Navigation Unit...) in order to automatically detect any boat or object for a 24/7 surveillance. We rely on maritime environment and IR sensor data specificities to develop tailored algorithms to perform automatic object detection. These algorithms have been packaged into a complete solution which performs from data acquisition through a user friendly graphical user interface (GUI). Extensive tests have been carried out to validate our solution. We present a quantitative evaluation done on ground truth data. System performance has been calculated using Detection/False Alarm rates over multiple sequences acquired from numerous cameras. Moreover, qualitative evaluations have demonstrated the robustness of the system in numerous different weather conditions. The last section of this paper tackles algorithms enhancements as well as future evolutions of the system.",2166-1782;21661782,Electronic:978-1-4244-8893-3; POD:978-1-4244-8894-0,10.1109/WSSC.2010.5730280,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5730280,Optronics;automatic surveillance;critical infrastructure protection;harbor protection;infrared sensor;maritime safety;maritime security;maritime surveillance;video analytics,Cameras;Marine vehicles;Meteorology;Object detection;Sensors;Surveillance,Global Positioning System;data acquisition;graphical user interfaces;infrared detectors;marine safety;military equipment;ships;video surveillance,AUTOMATIC SEA VISION;GPS;IR camera;Waquet;automatic object detection;automatic optical software processing;board ships;coastal areas;data acquisition;graphical user interface;inertial navigation unit;maritime safety;maritime security;maritime surveillance;multiple sensors;video analytics,,2,,9,,no,3-5 Nov. 2010,,IEEE,IEEE Conference Publications
Intelligent Sensor Information System For Public Transport å_ To Safely GoåÉ,P. Miller; W. Liu; C. Fowler; H. Zhou; J. Shen; J. Ma; J. Zhang; W. Yan; K. McLaughlin; S. Sezer,"Centre for Secure Inf. Technol., Queen's Univ. Belfast, Belfast, UK",2010 7th IEEE International Conference on Advanced Video and Signal Based Surveillance,20101007,2010,,,533,538,"The Intelligent Sensor Information System (ISIS) is described. ISIS is an active CCTV approach to reducing crime and anti-social behavior on public transport systems such as buses. Key to the system is the idea of event composition, in which directly detected atomic events are combined to infer higher-level events with semantic meaning. Video analytics are described that profile the gender of passengers and track them as they move about a 3-D space. The overall system architecture is described which integrates the on-board event recognition with the control room software over a wireless network to generate a real-time alert. Data from preliminary data-gathering trial is presented.",,Electronic:978-1-4244-8311-2; POD:978-1-4244-8310-5,10.1109/AVSS.2010.36,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5597103,,Cameras;Driver circuits;Face;Security;Software;Streaming media;Surveillance,closed circuit television;image recognition;intelligent sensors;radio access networks;traffic information systems;transportation,active CCTV approach;atomic events;buses;control room software;event recognition;intelligent sensor information system;public transport systems;video analytics;wireless network,,1,,10,,no,Aug. 29 2010-Sept. 1 2010,,IEEE,IEEE Conference Publications
Kalman filtering with multiple nonlinear-linear mixing state constraints,X. Fu; Y. Jia; J. Du; F. Yu,"Seventh Research Division and the Department of Systems and Control, Beihang University (BUAA), Beijing 100191, China",49th IEEE Conference on Decision and Control (CDC),20110222,2010,,,340,345,"This paper is devoted to the problem of state estimation for a class of dynamic system with multiple nonlinear-linear (NL) mixing state constraints. A computational algorithm was developed by C. Yang and E. Blasch to incorporate a positive definite quadratic form equality constraint into the Kalman filtering for the ground vehicle tracking. However, when the target tracked in multidimensional space, a single positive definite quadratic form constraint is not enough due to the involvement of other surface such as hyperboloid, paraboloid, or even plane. A analytic method of incorporating multiple nonlinear-linear mixing state constraints into the Kalman filter is presented here, and a sufficient condition is obtained that guarantee the existence of solution. The constraints may be time varying. At each time step the unconstrained Kalman filter solution is projected onto the state constraints surface. This significantly improves the prediction accuracy of the filter. The use of this algorithm is demonstrated on a nonlinear-linear mixing spacecraft positioning problem.",0191-2216;01912216,Electronic:978-1-4244-7746-3; POD:978-1-4244-7745-6,10.1109/CDC.2010.5718030,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5718030,State estimation;nonlinear-linear mixing constraints;spacecraft positioning,Covariance matrix;Kalman filters;Noise;Optimization;State estimation;Symmetric matrices,Kalman filters;nonlinear dynamical systems;space vehicles;state estimation;tracking,Kalman filtering;dynamic system;ground vehicle tracking;multiple nonlinear-linear mixing state constraints;nonlinear-linear mixing spacecraft positioning problem;quadratic form equality constraint;state estimation,,1,,13,,no,15-17 Dec. 2010,,IEEE,IEEE Conference Publications
Kinematic Analysis of a Novel 4-UPS-UPU PCMM,X. Chen; Y. Deng; G. Hu; J. Yin,"Dept. of Mech. & Electron. Eng., Shandong Univ. of Sci. & Technol., Qingdao, China",2010 International Conference on Measuring Technology and Mechatronics Automation,20100506,2010,2,,550,553,"A novel 4-UPS-UPU PCMM (parallel coordinate measuring machine) with three translations and two rotations is proposed, and its kinematic analysis is studied systematically. First, the structure characteristics of the 4-UPS-UPU PCMM is analyzed. Second, a new solution for position analysis of 4-UPS-UPU PCMM, which without the construction of mathematical model, is put forward. Third, The curves of the length of actuating limbs respecting with motion of pose was obtained by Matlab software, the curves of velocity and acceleration were generated from the curve of the actuating limbs. The analytic results are verified by its simulation mechanism.",2157-1473;21571473,Electronic:978-1-4244-5739-7; POD:978-1-4244-5001-5,10.1109/ICMTMA.2010.240,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460237,PCMM;mathematical model;positon analysis;simulation mechanism,Acceleration;Analytical models;Automation;Coordinate measuring machines;Kinematics;Mathematical model;Mechanical variables measurement;Mechatronics;Rotation measurement;Structural engineering,control engineering computing;coordinate measuring machines;robot kinematics,4-UPS-UPU PCMM;Matlab software;actuating limbs;kinematic analysis;mathematical model;parallel coordinate measuring machine;structure characteristics,,0,,16,,no,13-14 March 2010,,IEEE,IEEE Conference Publications
Log-Based Reliability Analysis of Software as a Service (SaaS),S. Banerjee; H. Srikanth; B. Cukic,"Lane Dept. of Comput. Sci. & Electr. Eng., West Virginia Univ., Morgantown, WV, USA",2010 IEEE 21st International Symposium on Software Reliability Engineering,20101111,2010,,,239,248,"Software as a Service (SaaS) has gained momentum in the past few years and businesses have been increasingly moving to SaaS model for their IT solutions. SaaS is a newer and transformed model where software is delivered to customers as a service over the web. With the SaaS model, there is a need for service providers to ensure that the services are available and reliable for end users at all times, which introduces significant pressure on the service provider to ensure right test processes and methodologies to minimize any impact to the provisions in Service Level Agreements (SLA). There is lack of research on the unique approaches to reliability analysis of SaaS suites. In this paper, we expand traditional approaches to reliability analysis of traditional web servers and propose methods tailored towards assessing the workload and reliability of SaaS applications. In addition we show the importance of data filtration when assessing SaaS reliability from log files. Finally, we discuss the suitability of reliability measures with respect to their relevance in the context of SLAs.",1071-9458;10719458,Electronic:978-0-7695-4255-3; POD:978-1-4244-9056-1,10.1109/ISSRE.2010.46,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5635046,Software Analytics;Software Reliability;Software as a Service,Navigation;Organizations;Software reliability;Usability;Web server,Internet;software architecture;software reliability,Web;data filtration;log based reliability analysis;service level agreements;software as a service,,7,,27,,no,1-4 Nov. 2010,,IEEE,IEEE Conference Publications
Logistics system performance evaluation of the fresh and live agricultural products with an application of analytic network process,Y. Wang; L. Yang; X. Huang; Y. Wang; T. Lu,"School of Economics and Management, Beijing Jiaotong University, Beijing 100044",2010 International Conference on Logistics Systems and Intelligent Management (ICLSIM),20100506,2010,1,,130,134,"In the first place, this thesis, based on an analysis of the features of the logistics system of the fresh and live agriculture products, the affecting factors of its performance and influencing mechanism, considering the specificity of the whole fresh and live agriculture products logistics system, constructs an indicating system on the evaluation of logistics system performance of the fresh and live agriculture products. Secondly, based on an analysis of the applicability of the analytic network process, this paper, analyses the dependent network process relationship between different indicators in the evaluation system of performance of the fresh and live agriculture products logistics system establishes a network construction of the fresh and live agriculture products and confirms partial weight and overall weight. Practically, through a survey of the relative departments and professors in Chang Tai in Fujian province, this paper, with an empirical analysis of the software Super Decision, raised some managerial suggestions which can the improve the performance.",,Electronic:978-1-4244-7330-4; POD:978-1-4244-7331-1,10.1109/ICLSIM.2010.5461452,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5461452,Analytic Network Process;Fresh and Live Agriculture Products;Logistics System Performance,Agricultural products;Agriculture;Logistics;Marketing and sales;Performance analysis;Procurement;Product safety;System performance;Testing;Transportation,agricultural products;agriculture;decision making;logistics,Super Decision software;analytic network process;fresh agricultural product;live agricultural product;logistics system performance evaluation;network construction;network process relationship;overall weight;partial weight,,0,,7,,no,9-10 Jan. 2010,,IEEE,IEEE Conference Publications
Measurement-based underwater acoustic physical layer simulation,B. Borowski; D. Duchamp,"Stevens Institute of Technology, Department of Computer Science, Castle Point on Hudson, Hoboken, NJ 07030 USA",OCEANS 2010 MTS/IEEE SEATTLE,20101210,2010,,,1,8,"Simulation is important in the study of underwater networking because of the difficulty and expense of performing experiments. Underwater acoustic propagation is influenced by a wide variety of environmental factors, rendering analytic models complex, inaccurate, or both. Therefore, simulations based on models are of uncertain utility. In contrast, this simulator uses measured impulse response, CTD, noise, and transmission loss data in an effort to more realistically simulate the channel. The application layer generates data packets whose modulated waveforms are ‰ÛÏmixed‰Ûù with the channel's properties and sent to a receiver implemented fully in software, where the simulated bit error rate (BER) is measured. For a shallow time-invariant test channel, this process results in a simulated BER that is, on average, within 3.34% of the true BER.",0197-7385;01977385,Electronic:978-1-4244-4333-8; POD:978-1-4244-4332-1,10.1109/OCEANS.2010.5664378,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5664378,,Computational modeling;Correlation;Frequency shift keying;MATLAB;Noise;Phase shift keying;Receivers,environmental factors;error statistics;rendering (computer graphics);underwater acoustic communication;underwater acoustic propagation;wireless channels,BER;bit error rate;environmental factors;modulated waveforms;rendering analytic models;shallow time-invariant test channel;underwater acoustic propagation;underwater networking,,3,,17,,no,20-23 Sept. 2010,,IEEE,IEEE Conference Publications
Mechanical stress analysis of port crane based on the condition of temperature field,Min Feng; Hanbin Xiao; Zhengyan Zhang; Shiqing Lu,"School of Logistics Engineering, Wuhan University of Technology, China",2010 The 2nd International Conference on Industrial Mechatronics and Automation,20100803,2010,1,,172,176,"This paper systematically study the calculative theory of of large-scale port crane's the temperature field and thermal stress, Use the finite element software ANSYS to mode and analyse the large-scale port crane under the temperature field and temperature stress. Carry out a detailed study to results of the analysis and determine the impact of temperature stress on port crane structure. The analytic results show the temperature impact has a non-negligible effect on the structural strength of the port crane, which is likely to result in the main factors of the local structure's cracking.",,Electronic:978-1-4244-7656-5; POD:978-1-4244-7653-4,10.1109/ICINDMA.2010.5538057,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5538057,port cranes;sunshine radiati;temperature field;temperature stress;thermal analysis,Computer industry;Cranes;Heat transfer;Large-scale systems;Solar heating;Temperature distribution;Thermal conductivity;Thermal loading;Thermal stresses;Wind speed,,,,0,,4,,no,30-31 May 2010,,IEEE,IEEE Conference Publications
Migrating from Per-Job Analysis to Per-Resource Analysis for Tighter Bounds of End-to-End Response Times,M. K. Yoon; C. G. Lee; J. Han,"University of Illinois at Urbana-Champaign, Urbana",IEEE Transactions on Computers,20100524,2010,59,7,933,942,"As the software complexity drastically increases for multiresource real-time systems, industries have great needs for analytically validating real-time behaviors of their complex software systems. Possible candidates for such analytic validations are the end-to-end response time analysis techniques that can analytically find the worst-case response times of real-time transactions over multiple resources. The existing techniques, however, exhibit severe overestimation when real-time transactions visit the same resource multiple times, which we call a multiple visit problem. To address the problem, this paper proposes a novel analysis that completely changes its analysis viewpoint from classical per-job basis-aggregation of per-job response times-to per-resource basis-aggregation of per-resource total delays. Our experiments show that the proposed analysis can find significantly tighter bounds of end-to-end response times compared with the existing per-job-based analysis.",0018-9340;00189340,,10.1109/TC.2009.174,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5342409,Per-resource analysis;controller area network;end-to-end response time analysis;real-time and embedded systems.,Aerospace electronics;Aircraft;Computer industry;Computer science;Control system analysis;Control systems;Delay;Embedded system;Real time systems;Software systems,controller area networks;real-time systems;resource allocation;scheduling;software metrics,classical per-job basis-aggregation;complex software systems;end-to-end response time analysis;multiple visit problem;multiresource real-time systems;per-job analysis;per-job response times;per-resource analysis;per-resource basis-aggregation;per-resource total delays;real-time behaviors;real-time transactions;software complexity;worst-case response times,,3,,19,,no,10-Jul,,IEEE,IEEE Journals & Magazines
Min-Max Based AHP Method for Route Selection in Cognitive Wireless Network,N. Uchida; K. Takahata; X. Zhang; K. Takahata; Y. Shibata,"Fac. of Software & Inf. Sci., Iwate Prefectural Univ., Iwate, Japan",2010 13th International Conference on Network-Based Information Systems,20101115,2010,,,22,27,"Cognitive wireless network is one of efficient wireless transmission methods to solve today's wireless network problems like a lack of wireless radio resource or congestion of wireless bands. However, Cognitive wireless network still has some problems to realize like efficient algorisms, control methods, and technical problems to attain efficient transmission. In this paper, the Min-Max based AHP method for route selection in cognitive wireless network considering is especially discussed. First, at the observation stage, the physical data such as user policy, electric field strength, bit error rate, jitter, latency, packet error rate, and throughput are observed. Then, at the decision stage, AHP (Analytic hierarchy process) is applied for decision making process with those parameters. Finally, the action stage, one of the suitable links and routes is chosen and changed links and networks by the results of the proposal methods. In the simulation, ns2 are used for the computational results to the effectiveness of the suggested transmission methods in cognitive wireless networks.",2157-0418;21570418,Electronic:978-0-7695-4167-9; POD:978-1-4244-8053-1,10.1109/NBiS.2010.90,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5635691,AHP;Cognitive Wireless Network;QoS,Ad hoc networks;Bit error rate;Routing;Routing protocols;Throughput;Wireless networks,cognitive radio;decision making;electric fields;error statistics;telecommunication network routing,bit error rate;cognitive wireless networks;decision making process;electric field strength;min-max based analytic hierarchy process method;wireless bands congestion;wireless radio resource;wireless transmission methods,,3,,14,,no,14-16 Sept. 2010,,IEEE,IEEE Conference Publications
Miniaturized Implantable Wireless Sensor System for Realtime Measurement of Well-Being of Fishes,C. Brockmann; V. GroÌÙer; J. Hefer; S. Guttowski; H. Reichl,"Res. Center for Microperipherik Technol., Tech. Univ. Berlin, Berlin, Germany",2010 Fourth International Conference on Sensor Technologies and Applications,20100826,2010,,,453,457,A miniaturized and implantable wireless underwater sensor system for realtime monitoring of vital parameters for sweet water fishes is presented. The wireless communication between the nodes and the gateway is realized by a RF radio link with a datarate of 250 kbps. The sensor nodes are directly implanted under the membrane of the fish and sample eight different sensors every second. With a lifetime of nearly one month with a coin cell battery the system delivers fine granulate data about the well-fare of the fish. Complex analytic-software can use the data for dedicated diagnostics.,,Electronic:978-1-4244-7537-7; POD:978-1-4244-7538-4,10.1109/SENSORCOMM.2010.72,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5558112,underwater networks;vital parameter monitoring;wireless sensor system,Electrical resistance measurement;Electrodes;Sensor systems;Temperature measurement;Temperature sensors;Wireless communication;Wireless sensor networks,aquaculture;radio links;underwater acoustic communication;wireless sensor networks,RF radio link;implantable wireless sensor system;miniaturized wireless underwater sensor system;realtime measurement;sweet water fish,,0,,10,,no,18-25 July 2010,,IEEE,IEEE Conference Publications
Mobile Audience Measurements in User Experience Research,H. Verkasalo,,2010 IEEE Wireless Communication and Networking Conference,20100708,2010,,,1,6,"Holistic, objective and precise data on mobile user behavior and experience are needed in today's product development and marketing activities. This article presents a framework for mobile audience measurements, for collecting data at the point of convergence-devices. The paper compares the presented framework to alternative methods of mobile user research, and identifies the unique advantages of on-device measurements along with the key weaknesses. In addition to elaborating on data collection, the paper addresses the related analytics, presenting adoption modeling and stickiness analysis that complement the data collection processes and deliver practical insights. The insights can be provided to device vendors, application developers and carriers, who can use the insights in product portfolio management, product development, and marketing.",1525-3511;15253511,Electronic:978-1-4244-6398-5; POD:978-1-4244-6396-1,10.1109/WCNC.2010.5506573,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5506573,,Aerospace industry;Application software;Communications Society;Data analysis;Data mining;Electronic mail;Internet;Product development;TV;Technological innovation,marketing;mobile radio;product development,adoption modeling;data collection process;marketing;mobile audience measurements;mobile user behavior;on-device measurements;product development;product portfolio management;stickiness analysis;user experience research,,1,,19,,no,18-21 April 2010,,IEEE,IEEE Conference Publications
Modeling and analysis of software rejuvenation in a server virtualized system,F. Machida; D. S. Kim; K. S. Trivedi,"Service Platforms Research Laboratories, NEC Corporation, Kawasaki, Japan",2010 IEEE Second International Workshop on Software Aging and Rejuvenation,20110303,2010,,,1,6,"As server virtualization is used as an essential software infrastructure of various software services such as cloud computing, availability management of server virtualized system is becoming more significant. Although time-based software rejuvenation is useful to postpone/prevent failures due to software aging in a server virtualized system, the rejuvenation schedules for virtual machine (VM) and virtual machine monitor (VMM) need to be determined in a proper way for the VM availability, since VMM rejuvenation affects VMs running on the VMM. This paper presents analytic models using stochastic reward nets for three time-based rejuvenation techniques of VMM; (i) Cold-VM rejuvenation in which all VMs are shut down before the VMM rejuvenation, (ii) Warm-VM rejuvenation in which all VMs are suspended before the VMM rejuvenation and (iii) Migrate-VM rejuvenation in which all VMs are moved to the other host server during the VMM rejuvenation. We compare the three techniques in terms of steady-state availability and the number of transactions lost in a year. We find the optimal combination of rejuvenation trigger intervals for each rejuvenation technique by a gradient search method. The numerical analysis shows the interesting result that Warm-VM rejuvenation does not always outperform Cold-VM rejuvenation in terms of steady-state availability depending on rejuvenation trigger intervals. Migrate-VM rejuvenation is better than the other two as long as live VM migration rate is large enough and the other host server has a capacity to accept the migrated VM.",,Electronic:978-1-61284-346-9; POD:978-1-61284-344-5,10.1109/WOSAR.2010.5722098,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5722098,Analytic model;optimization;server virtualization;stochastic reward net;time-based software rejuvenation,,gradient methods;software performance evaluation;virtual machines,gradient search method;server virtualization;server virtualized system;software aging;software rejuvenation;software services;steady-state availability;stochastic reward nets;virtual machine;virtual machine monitor,,17,,16,,no,2-2 Nov. 2010,,IEEE,IEEE Conference Publications
Modeling SW to HW task migration for MPSOC performance analysis,I. Bennour; D. Sebai; A. Jemai,"E&#191;E laboratory, Faculty of sciences at Monastir, Tunisia",5th International Conference on Design & Technology of Integrated Systems in Nanoscale Era,20100617,2010,,,1,6,"Codesign choices of a system differ in terms of different hardware/software partitions, different types of architectural components, different communication architectures, etc. This paper presents an analytic method to estimate the gain on a system throughput when a software task is selected to be moved to hardware during the codesign process. The method is based on formal transformations of a Synchronous Data Flow Graph that models the application as well as its mapping to architecture. The proposed method is applied to the MJPEG decoder using the predictable MPSOC design tool SDF<sup>3</sup>.",,Electronic:978-1-4244-6340-4; POD:978-1-4244-6338-1,10.1109/DTIS.2010.5487581,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5487581,MPSOC;SW to HW task migration;Synchronous DataFlow;performance estimation;predictable design flow,Analytical models;Computer architecture;Decoding;Equations;Flow graphs;Hardware;Laboratories;Mathematical model;Performance analysis;Throughput,data flow graphs;hardware-software codesign;multiprocessing systems;system-on-chip,MPSOC performance analysis;SW to HW task migration;architectural components;codesign choices;codesign process;communication architectures;hardware/software partitions;software task;synchronous data flow graph,,0,,10,,no,23-25 March 2010,,IEEE,IEEE Conference Publications
Multi-core Video Analytics Engine (MVE) for security and surveillance applications,C. Rekeczky; A. Zarandy; P. Foldesy,"Eutecus Inc, Berkeley, CA, USA",2010 12th International Workshop on Cellular Nanoscale Networks and their Applications (CNNA 2010),20100329,2010,,,1,1,"The Multi-core Video Analytics Engine (MVE??) is an easily configurable, compact, high-performance processing architecture that can be used to implement complete video analytics solutions in a single FPGA embedded in intelligent surveillance cameras. With the steadily growing demand for increased processing power at lower costs for video analytics systems, especially intelligent cameras with embedded Digital Signal Processors (DSPs), traditional -software-only approaches are breaking down under the heavy burden of sheer computational complexity. MVE addresses this problem right at the heart, combining an inherently parallel multi-core processing architecture with embedded complex video analytics algorithms in a configurable SoC (System-on-Chip) solution. This initial commercial implementation of MVE is on the Xilinx Spartan-3A DSP 3400A FPGA chip. MVE is based on Eutecus' Cellular Multi-core Video Analytics (C-MVA??) processor - containing specialized image processing IP cores - which has been developed based on substantial research into cellular architectures that mimics the processing found in human vision. The performance of the MVE?? will be demonstrated in both indoor and outdoor security and surveillance applications.",2165-0144;21650144,Electronic:978-1-4244-6680-1; POD:978-1-4244-6679-5,10.1109/CNNA.2010.5430331,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5430331,,Computational intelligence;Costs;Digital cameras;Engines;Field programmable gate arrays;Intelligent systems;Security;Signal analysis;Smart cameras;Surveillance,field programmable gate arrays;image sensors;multiprocessing systems;parallel architectures;system-on-chip;video signal processing;video surveillance,Eutecus cellular multicore video analytics processor;FPGA;MVE;Xilinx Spartan-3A DSP 3400A FPGA chip;computational complexity;configurable SoC;embedded complex video analytics algorithms;embedded digital signal processors;human vision;image processing;indoor security;intelligent surveillance cameras;multicore video analytics engine;outdoor security;parallel multicore processing architecture;system-on-chip,,0,,,,no,3-5 Feb. 2010,,IEEE,IEEE Conference Publications
Multidimensional data dissection using attribute relationship graphs,C. Weaver,School of Computer Science and Center for Spatial Analysis The University of Oklahoma,2010 IEEE Symposium on Visual Analytics Science and Technology,20101210,2010,,,75,82,"Visual exploration and analysis is a process of discovering and dissecting the abundant and complex attribute relationships that pervade multidimensional data. Recent research has identified and characterized patterns of multiple coordinated views, such as cross-filtered views, in which rapid sequences of simple interactions can be used to express queries on subsets of attribute values. In visualizations designed around these patterns, for the most part, distinct views serve to visually isolate each attribute from the others. Although the brush-and-click simplicity of visual isolation facilitates discovery of many-to-many relationships between attributes, dissecting these relationships into more fine-grained one-to-many relationships is interactively tedious and, worse, visually fragmented over prolonged sequences of queries. This paper describes: (1) a method for interactively dissecting multidimensional data by iteratively slicing and manipulating a multigraph representation of data values and value co-occurrences; and (2) design strategies for extending the construction of coordinated multiple view interfaces for dissection as well as discovery of attribute relationships in multidimensional data sets. Using examples from different domains, we describe how attribute relationship graphs can be combined with cross-filtered views, modularized for reuse across designs, and integrated into broader visual analysis tools. The exploratory and analytic utility of these examples suggests that an attribute relationship graph would be a useful addition to a wide variety of visual analysis tools.",,Electronic:978-1-4244-9487-3; POD:978-1-4244-9488-0,10.1109/VAST.2010.5652520,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5652520,D.2.2 [Software Engineering]: Design Tools and Techniques-[User Interfaces];H.2.3 [Information Systems]: Database Management-[Languages];H.5.2 [Information Systems]: Information Interfaces and Presentation-[User Interfaces],Awards activities;Data visualization;Encoding;Layout;Motion pictures;Pipelines;Visualization,data visualisation;graph theory;program slicing;query processing,attribute relationship graphs;design strategies;manipulating;multidimensional data dissection;multigraph representation;queries;slicing;visual analysis tools;visual exploration,,4,1,37,,no,25-26 Oct. 2010,,IEEE,IEEE Conference Publications
