title$|$authors$|$year$|$citedCount$|$fulltext_url
Declarative mocking$|$Hesam Samimi,Rebecca Hicks,Ari Fogel,Todd Millstein$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2483790
GRID codes: Strip-based erasure codes with high fault tolerance for storage systems$|$Mingqiang Li,Jiwu Shu,Weimin Zheng$|$2009$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=1480444
Semi-automated Test Planning for e-ID Systems by Using Requirements Clustering$|$Baris Guldali,Holger Funke,Michael Jahnich,Stefan Sauer,Gregor Engels$|$2009$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1747506
Quality assessment of automatically generated feature maps for future driver assistance systems$|$Sabine Hofmann,Claus Brenner$|$2009$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1653854
The quamoco product quality modelling and assessment approach$|$Stefan Wagner,Klaus Lochmann,Lars Heinemann,Michael Klas,Adam Trendowicz,Reinhold Plosch,Andreas Seidl,Andreas Goeb,Jonathan Streit$|$2012$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=2337372
Dynamic tainting for deployed Java programs$|$Du Li$|$2010$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1869589
Automated type-3 clone oracle using Levenshtein metric$|$Thierry Lavoie,Ettore Merlo$|$2011$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1985411
EnforceMOP: a runtime property enforcement system for multithreaded programs$|$Qingzhou Luo,Grigore Rosu$|$2013$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=2483766
Testing across configurations: implications for combinatorial testing$|$Myra B. Cohen,Joshua Snyder,Gregg Rothermel$|$2006$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=1218785
Code-Imp: a tool for automated search-based refactoring$|$Iman Hemati Moghadam,Mel O Cinneide$|$2011$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=1984742
XFindBugs: eXtended FindBugs for AspectJ$|$Haihao Shen,Sai Zhang,Jianjun Zhao,Jianhong Fang,Shiyuan Yao$|$2008$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1512490
Systems architecture: the empirical way: abstract architectures to 'optimal' systems$|$Graham R. Hellestrand$|$2005$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1086257
Efficient and flexible architectural support for dynamic monitoring$|$Yuanyuan Zhou,Pin Zhou,Feng Qin,Wei Liu,Josep Torrellas$|$2005$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1061269
SABER: smart analysis based error reduction$|$Darrell Reimer,Edith Schonberg,Kavitha Srinivas,Harini Srinivasan,Bowen Alpern,Robert D. Johnson,Aaron Kershenbaum,Larry Koved$|$2004$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1007545
Layered probability maps: basic framework and prototype system$|$Yutaka Kunita,Masahiro Ueno,Keiji Tanaka$|$2006$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1180532
Systems of systems and coordinated atomic actions$|$Robert Schaefer$|$2004$|$4$|$http://dl.acm.org/ft_gateway.cfm?id=1039196
Building and using pluggable type-checkers$|$Werner Dietl,Stephanie Dietzel,Michael D. Ernst,Kivanc Muslu,Todd W. Schiller$|$2011$|$17$|$http://dl.acm.org/ft_gateway.cfm?id=1985889
Assisting novice analysts in developing quality conceptual models with UML$|$Narasimha Bolloju,Felix S.K. Leung$|$2006$|$18$|$http://dl.acm.org/ft_gateway.cfm?id=1139926
Patterns, frameworks, and middleware: their synergistic relationships$|$Douglas C. Schmidt,Frank Buschmann$|$2003$|$31$|$http://dl.acm.org/ft_gateway.cfm?id=776917
SAMBA: a semi-automatic method for measuring barriers of accessibility$|$Giorgio Brajnik,Raffaella Lomuscio$|$2007$|$16$|$http://dl.acm.org/ft_gateway.cfm?id=1296853
Automated unit and integration testing for component-based software systems$|$F. Saglietti,F. Pinte$|$2010$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1868440
Quality assessment of automatically generated feature maps for future driver assistance systems$|$Sabine Hofmann,Claus Brenner$|$2009$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1653854
GRID codes: Strip-based erasure codes with high fault tolerance for storage systems$|$Mingqiang Li,Jiwu Shu,Weimin Zheng$|$2009$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=1480444
Testing across configurations: implications for combinatorial testing$|$Myra B. Cohen,Joshua Snyder,Gregg Rothermel$|$2006$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=1218785
Code-Imp: a tool for automated search-based refactoring$|$Iman Hemati Moghadam,Mel O Cinneide$|$2011$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=1984742
4D trajectory planning in ATM with an anytime stochastic approach$|$Jose Antonio Cobano,David Alejo,Guillermo Heredia,Anibal Ollero$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2494494
The use of development history in software refactoring using a multi-objective evolutionary algorithm$|$Ali Ouni,Marouane Kessentini,Houari Sahraoui,Mohamed Salah Hamdi$|$2013$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=2463554
Language support for interoperable messaging in sensor networks$|$Kevin K. Chang,David Gay$|$2005$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1140390
Explaining inconsistent code$|$Martin Schaf,Daniel Schwartz-Narbonne,Thomas Wies$|$2013$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2491448
Increasing the reliability of wireless sensor networks with a distributed testing framework$|$Matthias Woehrle,Christian Plessl,Jan Beutel,Lothar Thiele$|$2007$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=1278996
An eye-tracking study on the role of scan time in finding source code defects$|$Bonita Sharif,Michael Falcone,Jonathan I. Maletic$|$2012$|$7$|$http://dl.acm.org/ft_gateway.cfm?id=2168642
Saturn: A scalable framework for error detection using Boolean satisfiability$|$Yichen Xie,Alex Aiken$|$2007$|$41$|$http://dl.acm.org/ft_gateway.cfm?id=1232423
Tools for a successful refactoring$|$Emerson Murphy-Hill,Andrew P. Black$|$2006$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1176678
Performance measurements and modeling of a java-based session initiation protocol (SIP) application server$|$Greg Franks,Danny Lau,Curtis Hrischuk$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2000270
Discovering faults in idiom-based exception handling$|$Magiel Bruntink,Arie van Deursen,Tom Tourwe$|$2006$|$18$|$http://dl.acm.org/ft_gateway.cfm?id=1134320
Systems architecture: the empirical way: abstract architectures to 'optimal' systems$|$Graham R. Hellestrand$|$2005$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1086257
Accuracy of aggregate data in distributed project settings: Model, analysis and implications$|$Nitin R. Joglekar,Edward G. Anderson,G. Shankaranarayanan$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2458521
On incremental file system development$|$Erez Zadok,Rakesh Iyer,Nikolai Joukov,Gopalan Sivathanu,Charles P. Wright$|$2006$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1149979
Assessment of conversation co-mentions as a resource for software module recommendation$|$Daniel Xiaodan Zhou,Paul Resnick$|$2009$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1639737
Why do software packages conflict?$|$Cyrille Artho,Kuniyasu Suzaki,Roberto Di Cosmo,Ralf Treinen,Stefano Zacchiroli$|$2012$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2664470
Tools for enforcing and inferring reference immutability in Java$|$Telmo Luis Correa, Jr.,Jaime Quinonez,Michael D. Ernst$|$2007$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1297929
Relationships and associations in object-oriented languages$|$Stephen Nelson,Stephanie Balzer,Gavin Bierman,Erik Meijer,James Noble,David Pearce,Jiri Soukup,Frank Tip$|$2008$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1449883
The puppet and the probe$|$Samvida Nanda,Soumya Ramasubramaniam,Sumana Ramasubramaniam,Agastya Nanda,Mangala Gowri Nanda$|$2009$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1640078
IRON file systems$|$Vijayan Prabhakaran,Lakshmi N. Bairavasundaram,Nitin Agrawal,Haryadi S. Gunawi,Andrea C. Arpaci-Dusseau,Remzi H. Arpaci-Dusseau$|$2005$|$89$|$http://dl.acm.org/ft_gateway.cfm?id=1095830
Managing data quality in a terabyte-scale sensor archive$|$Bryce Cutt,Ramon Lawrence$|$2008$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1363915
Ownership and immutability in generic Java$|$Yoav Zibin,Alex Potanin,Paley Li,Mahmood Ali,Michael D. Ernst$|$2010$|$17$|$http://dl.acm.org/ft_gateway.cfm?id=1869509
Software-Based Transparent and Comprehensive Control-Flow Error Detection$|$Edson Borin,Cheng Wang,Youfeng Wu,Guido Araujo$|$2006$|$22$|$http://dl.acm.org/ft_gateway.cfm?id=1122415
Automated Test Generation for Access Control Policies via Change-Impact Analysis$|$Evan Martin,Tao Xie$|$2007$|$9$|$http://dl.acm.org/ft_gateway.cfm?id=1269065
Debugging support for end user mashup programming$|$Sandeep Kaur Kuttal,Anita Sarma,Gregg Rothermel$|$2013$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2466213
Concurrency by default: using permissions to express dataflow in stateful programs$|$Sven Stork,Paulo Marques,Jonathan Aldrich$|$2009$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1640060
A layered architecture for real-time distributed multi-agent systems$|$Nadeem Jamali,Shangping Ren$|$2005$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1082978
Automated type-3 clone oracle using Levenshtein metric$|$Thierry Lavoie,Ettore Merlo$|$2011$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1985411
ETAK: tailoring architectural evolution by (re-)using architectural knowledge$|$Joost Noppen,Dalila Tamzalit$|$2010$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1833339
SHARC: framework for quality-conscious web archiving$|$Dimitar Denev,Arturas Mazeika,Marc Spaniol,Gerhard Weikum$|$2009$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=1687694
Towards a model driven refinement process through architecture evaluation$|$Grzegorz Loniewski,Etienne Borde,Emilio Insfran$|$2012$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2420946
A hybrid hardware--software technique to improve reliability in embedded processors$|$Roshan G. Ragel,Sri Parameswaran$|$2011$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1952529
Memory tagging in Charm++$|$Filippo Gioachin,Laxmikant V. Kale$|$2008$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1390845
EFTS 2007: the 2nd international workshop on engineering fault tolerant systems$|$Nicolas Guelfi,Henry Muccini,Patrizio Pelliccione,Alexander Romanovsky$|$2007$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1287728
Dependability in dynamic, evolving and heterogeneous systems: the connect approach$|$Antonia Bertolino,Antinisca Di Marco,Fabio Martinelli,Valerie Issarny,Rachid Saadi$|$2010$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2401746
Systems of systems and coordinated atomic actions$|$Robert Schaefer$|$2004$|$4$|$http://dl.acm.org/ft_gateway.cfm?id=1039196
Quality management on Amazon Mechanical Turk$|$Panagiotis G. Ipeirotis,Foster Provost,Jing Wang$|$2010$|$145$|$http://dl.acm.org/ft_gateway.cfm?id=1837906
Automated unit and integration testing for component-based software systems$|$F. Saglietti,F. Pinte$|$2010$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1868440
TALENT: temporal adaptive link estimator with no training$|$Tao Liu,Alberto E. Cerpa$|$2012$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=2426682
Testing across configurations: implications for combinatorial testing$|$Myra B. Cohen,Joshua Snyder,Gregg Rothermel$|$2006$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=1218785
Data science for software engineering$|$Tim Menzies,Ekrem Kocaguneli,Fayola Peters,Burak Turhan,Leandro L. Minku$|$2013$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2487048
Deriving performance models of software architectures from message sequence charts$|$F. Andolfi,F. Aquilani,S. Balsamo,P. Inverardi$|$2000$|$12$|$http://dl.acm.org/ft_gateway.cfm?id=350404
Adding resilience to message oriented middleware$|$Jinfu Wang,Peng Jiang,John Bigham,Bob Chew,Milan Novkovic,Ilesh Dattani$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2401747
A pragmatic testing approach for wireless sensor networks$|$Cedric Ramassamy,Hacene Fouchal,Philippe Hunel,Nicolas Vidot$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1868641
SEAMS '10: Proceedings of the 2010 ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems$|$$|$2010$|$$|$
Bandera: extracting finite-state models from Java source code$|$James C. Corbett,Matthew B. Dwyer,John Hatcliff,Shawn Laubach,Corina S. Pasareanu, Robby,Hongjun Zheng$|$2000$|$408$|$http://dl.acm.org/ft_gateway.cfm?id=337234
Quorum-based dynamic regular registers in systems with churn$|$Andreas Klappenecker,Hyunyoung Lee,Jennifer L. Welch$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2034643
CODASYS: a consulting tool for novice database designers$|$Solomon R. Antony,Dinesh Batra$|$2002$|$7$|$http://dl.acm.org/ft_gateway.cfm?id=569911
Using implied scenarios in security testing$|$Sarah Al-Azzani,Rami Bahsoon$|$2010$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1809103
Execution synthesis: a technique for automated software debugging$|$Cristian Zamfir,George Candea$|$2010$|$66$|$http://dl.acm.org/ft_gateway.cfm?id=1755946
Towards automated testing and fixing of re-engineered feature models$|$Christopher Henard,Mike Papadakis,Gilles Perrouin,Jacques Klein,Yves Le Traon$|$2013$|$7$|$http://dl.acm.org/ft_gateway.cfm?id=2486975
Variably interprocedural program analysis for runtime error detection$|$Aaron Tomb,Guillaume Brat,Willem Visser$|$2007$|$23$|$http://dl.acm.org/ft_gateway.cfm?id=1273478
Empirical estimates of software availability of deployed systems$|$Audris Mockus$|$2006$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1159767
Towards a mutation-based automatic framework for evaluating code clone detection tools$|$Chanchal K. Roy,James R. Cordy$|$2008$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1370279
Relationships and associations in object-oriented languages$|$Stephen Nelson,Stephanie Balzer,Gavin Bierman,Erik Meijer,James Noble,David Pearce,Jiri Soukup,Frank Tip$|$2008$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1449883
The interplay of software bloat, hardware energy proportionality and system bottlenecks$|$Suparna Bhattacharya,Karthick Rajamani,K. Gopinath,Manish Gupta$|$2011$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2039253
Modeling the relationship between software effort and size using deming regression$|$Nikolaos Mittas,Makrina Viola Kosti,Vasiliki Argyropoulou,Lefteris Angelis$|$2010$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1868339
Experiences with early life-cycle performance modeling for architecture assessment$|$Paul C. Brebner$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2304721
Tools and techniques for performance measurement of large distributed multiagent systems$|$Aaron Helsinger,Richard Lazarus,William Wright,John Zinky$|$2003$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=860711
Search-based refactoring detection$|$Rim Mahouachi,Marouane Kessentini,Mel O Cinneide$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2464680
TALENT: temporal adaptive link estimator with no training$|$Tao Liu,Alberto E. Cerpa$|$2012$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=2426682
Automated Test Generation for Access Control Policies via Change-Impact Analysis$|$Evan Martin,Tao Xie$|$2007$|$9$|$http://dl.acm.org/ft_gateway.cfm?id=1269065
Data science for software engineering$|$Tim Menzies,Ekrem Kocaguneli,Fayola Peters,Burak Turhan,Leandro L. Minku$|$2013$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2487048
A pragmatic testing approach for wireless sensor networks$|$Cedric Ramassamy,Hacene Fouchal,Philippe Hunel,Nicolas Vidot$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1868641
3-Dimensional root cause diagnosis via co-analysis$|$Ziming Zheng,Li Yu,Zhiling Lan,Terry Jones$|$2012$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2371571
Using redundancies to find errors$|$Yichen Xie,Dawson Engler$|$2002$|$12$|$http://dl.acm.org/ft_gateway.cfm?id=587060
Stochastic performance analysis and capacity planning of publish/subscribe systems$|$Arnd Schroter,Gero Muhl,Samuel Kounev,Helge Parzyjegla,Jan Richling$|$2010$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=1827468
Estimating the Odds for Texas Hold'em Poker Agents$|$Luis Filipe Teofilo,Luis Paulo Reis,Henrique Lopes Cardoso$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2569335
Securing software by enforcing data-flow integrity$|$Miguel Castro,Manuel Costa,Tim Harris$|$2006$|$24$|$http://dl.acm.org/ft_gateway.cfm?id=1298470
SEAMS '10: Proceedings of the 2010 ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems$|$$|$2010$|$$|$
Why do software packages conflict?$|$Cyrille Artho,Kuniyasu Suzaki,Roberto Di Cosmo,Ralf Treinen,Stefano Zacchiroli$|$2012$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=2664470
SHARC: framework for quality-conscious web archiving$|$Dimitar Denev,Arturas Mazeika,Marc Spaniol,Gerhard Weikum$|$2009$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=1687694
Evaluation of mutation testing for object-oriented programs$|$Yu-Seung Ma,Mary Jean Harrold,Yong-Rae Kwon$|$2006$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1134437
3-Dimensional root cause diagnosis via co-analysis$|$Ziming Zheng,Li Yu,Zhiling Lan,Terry Jones$|$2012$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2371571
Workload characterization for operator-based distributed stream processing applications$|$Xiaolan J. Zhang,Sujay Parekh,Bugra Gedik,Henrique Andrade,Kun-Lung Wu$|$2010$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1827466
On incremental file system development$|$Erez Zadok,Rakesh Iyer,Nikolai Joukov,Gopalan Sivathanu,Charles P. Wright$|$2006$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1149979
ReAssert: Suggesting Repairs for Broken Unit Tests$|$Brett Daniel,Vilas Jagannath,Danny Dig,Darko Marinov$|$2009$|$19$|$http://dl.acm.org/ft_gateway.cfm?id=1747538
Tools and techniques for performance measurement of large distributed multiagent systems$|$Aaron Helsinger,Richard Lazarus,William Wright,John Zinky$|$2003$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=860711
An empirical test of the DeLone-McLean model of information system success$|$Juhani Iivari$|$2005$|$46$|$http://dl.acm.org/ft_gateway.cfm?id=1066152
Automated Test Generation for Access Control Policies via Change-Impact Analysis$|$Evan Martin,Tao Xie$|$2007$|$9$|$http://dl.acm.org/ft_gateway.cfm?id=1269065
Brace: an assertion framework for debugging cyber-physical systems$|$Kevin Boos,Chien-Liang Fok,Christine Julien,Miryung Kim$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2337413
Program manipulation via interactive transformations$|$Marat Boshernitsan$|$2003$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=949380
Using redundancies to find errors$|$Yichen Xie,Dawson Engler$|$2002$|$12$|$http://dl.acm.org/ft_gateway.cfm?id=587060
Fault tolerance for multi-threaded applications by leveraging hardware transactional memory$|$Gulay Yalcin,Osman Sabri Unsal,Adrian Cristal$|$2013$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2482773
An eye-tracking study on the role of scan time in finding source code defects$|$Bonita Sharif,Michael Falcone,Jonathan I. Maletic$|$2012$|$7$|$http://dl.acm.org/ft_gateway.cfm?id=2168642
Different strokes for different folks: a case study on software metrics for different defect categories$|$Ayse Tosun Msrl,Bora Caglayan,Andriy V. Miranskyy,Ayse Bener,Nuzio Ruffolo$|$2011$|$4$|$http://dl.acm.org/ft_gateway.cfm?id=1985386
A type system for object models$|$Jonathan Edwards,Daniel Jackson,Emina Torlak$|$2004$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=1029921
Evolving patches for software repair$|$Thomas Ackling,Bradley Alexander,Ian Grunert$|$2011$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=2001768
Program manipulation via interactive transformations$|$Marat Boshernitsan$|$2003$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=949451
Understanding the quality of experience in modern distributed interactive multimedia applications in presence of failures: metrics and analysis$|$Narasimha Raghavan Veeraragavan,Andrea Bondavalli,Leonardo Montecchi,Roman Vitenberg,Nicola Nostro,Hein Meling$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2480450
Bandera: extracting finite-state models from Java source code$|$James C. Corbett,Matthew B. Dwyer,John Hatcliff,Shawn Laubach,Corina S. Pasareanu, Robby,Hongjun Zheng$|$2000$|$408$|$http://dl.acm.org/ft_gateway.cfm?id=337234
Quorum-based dynamic regular registers in systems with churn$|$Andreas Klappenecker,Hyunyoung Lee,Jennifer L. Welch$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2034643
Gaining insight into programs that analyze programs: by visualizing the analyzed program$|$Agastya Nanda,Mangala Gowri Nanda$|$2009$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1640074
Evolving patches for software repair$|$Thomas Ackling,Bradley Alexander,Ian Grunert$|$2011$|$8$|$http://dl.acm.org/ft_gateway.cfm?id=2001768
Evaluation of mutation testing for object-oriented programs$|$Yu-Seung Ma,Mary Jean Harrold,Yong-Rae Kwon$|$2006$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1134437
A type system for object models$|$Jonathan Edwards,Daniel Jackson,Emina Torlak$|$2004$|$11$|$http://dl.acm.org/ft_gateway.cfm?id=1029921
An Evolutionary Approach to Software Modularity Analysis$|$Sunny Huynh,Yuanfang Cai$|$2007$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1270248
Constrained types for object-oriented languages$|$Nathaniel Nystrom,Vijay Saraswat,Jens Palsberg,Christian Grothoff$|$2008$|$18$|$http://dl.acm.org/ft_gateway.cfm?id=1449800
Performance measurements and modeling of a java-based session initiation protocol (SIP) application server$|$Greg Franks,Danny Lau,Curtis Hrischuk$|$2011$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2000270
Impact of classes of development coordination tools on software development performance: A multinational empirical study$|$Amrit Tiwana$|$2008$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1348257
Program partitioning: a framework for combining static and dynamic analysis$|$Pankaj Jalote,Vipindeep Vangala,Taranbir Singh,Prateek Jain$|$2006$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1138916
Fault-tolerant techniques and security mechanisms for model-based performance prediction of critical systems$|$Ricardo J. Rodriguez,Catia Trubiani,Jose Merseguer$|$2012$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=2304660
Using implied scenarios in security testing$|$Sarah Al-Azzani,Rami Bahsoon$|$2010$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1809103
Execution synthesis: a technique for automated software debugging$|$Cristian Zamfir,George Candea$|$2010$|$66$|$http://dl.acm.org/ft_gateway.cfm?id=1755946
Hardware counter driven on-the-fly request signatures$|$Kai Shen,Ming Zhong,Sandhya Dwarkadas,Chuanpeng Li,Christopher Stewart,Xiao Zhang$|$2008$|$14$|$http://dl.acm.org/ft_gateway.cfm?id=1346306
Deriving performance models of software architectures from message sequence charts$|$F. Andolfi,F. Aquilani,S. Balsamo,P. Inverardi$|$2000$|$12$|$http://dl.acm.org/ft_gateway.cfm?id=350404
Constructing test suites for interaction testing$|$Myra B. Cohen,Peter B. Gibbons,Warwick B. Mugridge,Charles J. Colbourn$|$2003$|$69$|$http://dl.acm.org/ft_gateway.cfm?id=776822
A hybrid hardware--software technique to improve reliability in embedded processors$|$Roshan G. Ragel,Sri Parameswaran$|$2011$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1952529
Validating temporal properties of interacting objects$|$Nomair A. Naeem,Ondrej Lhotak$|$2008$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1449900
Performance Analysis for Multi-Service Networks with Congestion-Based Pricing for QoS Traffic$|$Woan Sun Chang,Robert Simon$|$2005$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=1050735
Understanding the quality of experience in modern distributed interactive multimedia applications in presence of failures: metrics and analysis$|$Narasimha Raghavan Veeraragavan,Andrea Bondavalli,Leonardo Montecchi,Roman Vitenberg,Nicola Nostro,Hein Meling$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2480450
Architecture-driven platform independent deterministic replay for distributed hard real-time systems$|$Holger Giese,Stefan Henkler$|$2006$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1147253
Improving software inspections by using reading techniques$|$Forrest Shull,Ioana Rus,Victor Basili$|$2001$|$2$|$http://dl.acm.org/ft_gateway.cfm?id=381612
Ecological inference in empirical software engineering$|$Daryl Posnett,Vladimir Filkov,Premkumar Devanbu$|$2011$|$31$|$http://dl.acm.org/ft_gateway.cfm?id=2190191
A pragmatic testing approach for wireless sensor networks$|$Cedric Ramassamy,Hacene Fouchal,Philippe Hunel,Nicolas Vidot$|$2010$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1868641
Critical systems development methodology using formal techniques$|$Dominique Mery,Neeraj Kumar Singh$|$2012$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2350720
A systematic methodology for OS benchmark characterization$|$Shuo-Hung Chen,Hsiao-Mei Lin,Kuo-Yi Chen,Yuan-Hao Chang,Pen-Chung Yew,Chien-Chung Ho$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2513234
Evaluation of mutation testing for object-oriented programs$|$Yu-Seung Ma,Mary Jean Harrold,Yong-Rae Kwon$|$2006$|$6$|$http://dl.acm.org/ft_gateway.cfm?id=1134437
Software implemented fault tolerance through data error recovery$|$Goutam Kumar Saha$|$2005$|$8$|$http://dl.acm.org/http://ubiquity.acm.org/article.cfm?id=1103082
Search-based refactoring detection$|$Rim Mahouachi,Marouane Kessentini,Mel O Cinneide$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2464680
Quantified extreme scenario based design approach$|$Asmaa Abdallah,Riham Hassan,Mostafa Abdel Azim$|$2013$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=2480572
Gaining insight into programs that analyze programs: by visualizing the analyzed program$|$Agastya Nanda,Mangala Gowri Nanda$|$2009$|$1$|$http://dl.acm.org/ft_gateway.cfm?id=1640074
MetaFJig: a meta-circular composition language for Java-like classes$|$Marco Servetto,Elena Zucca$|$2010$|$5$|$http://dl.acm.org/ft_gateway.cfm?id=1869498
Constructing test suites for interaction testing$|$Myra B. Cohen,Peter B. Gibbons,Warwick B. Mugridge,Charles J. Colbourn$|$2003$|$69$|$http://dl.acm.org/ft_gateway.cfm?id=776822
Lessons learned from automated analysis of industrial UML class models (an experience report)$|$Betty H. C. Cheng,Ryan Stephenson,Brian Berenbach$|$2005$|$5$|$
Writing Solaris device drivers in Java$|$Hiroshi Yamauchi,Mario Wolczko$|$2006$|$3$|$http://dl.acm.org/ft_gateway.cfm?id=1215998
A value-based approach for understanding cost-benefit trade-offs during automated software traceability$|$Alexander Egyed,Stefan Biffl,Matthias Heindl,Paul Grunbacher$|$2005$|$12$|$http://dl.acm.org/ft_gateway.cfm?id=1107658
Impact of classes of development coordination tools on software development performance: A multinational empirical study$|$Amrit Tiwana$|$2008$|$0$|$http://dl.acm.org/ft_gateway.cfm?id=1348257
Scientific rigour, an answer to a pragmatic question: a linguistic framework for software engineering$|$A. M. Haeberer,T. S. E. Maibaum$|$2001$|$9$|$http://dl.acm.org/ft_gateway.cfm?id=381521
