"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&download-format=download-csv&",2016/07/08 15:38:52
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"PHOTONICSystem, Inc.","","","Microwave Photonics, 2004. MWP'04. 2004 IEEE International Topical Meeting on","20050228","2004","","","0_2","0_2","","","0-7803-8491-1;0780384911","","10.1109/MWP.2004.1396806","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1396806","","","","","","0","","","","","4-6 Oct. 2004","","IEEE","IEEE Conference Publications"
"Development Framework for Model Driven Architecture to Accomplish Power-Aware Embedded Systems","M. Menghin; N. Druml; C. Steger; R. Weiss; H. Bock; J. Haid","Infineon Technol. Austria AG, Graz, Austria","Digital System Design (DSD), 2014 17th Euromicro Conference on","20141020","2014","","","122","128","Developing an embedded system today means integrating a bundle of features into a constrained and complex system. Examples are Near Field Communication (NFC) handsets like smart phones, which will hit the 1.2billion mark in 2017. Model Driven Architecture (MDA) is an approach to handle this complexity. Challenges in MDA are the verification of power-requirements across the development phases and to find the suitable abstraction for the power models for higher abstraction levels. Therefore, we propose a framework for MDA to support cross-verification of these requirements. We implemented this framework and made a case study of developing a power-aware NFC-System. The case study shows that the framework allows a power-verification with an accuracy of 10%.","","","","10.1109/DSD.2014.30","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6927235","Radiofrequency identification;System-level design;energy management;power system modeling","Accuracy;Computational modeling;Computer integrated manufacturing;Embedded systems;Hardware;Power demand;Power measurement","embedded systems;near-field communication;smart phones","MDA;NFC handsets;abstraction levels;complex system;cross verification;development framework;model driven architecture;near field communication;power aware NFC system;power aware embedded systems;power models;power requirements;power verification;smart phones;suitable abstraction","","0","","24","","","27-29 Aug. 2014","","IEEE","IEEE Conference Publications"
"Double principal-agent mechanism of logistics service supply chain","F. Yan; Y. f. Li","School of Management, Xi'an Polytechnic University, China, 710048","2009 International Conference on Management Science and Engineering","20091106","2009","","","2000","2006","Double principal-agent relationship is the initial driving mechanism for the formation and development of logistics services supply chain. The characteristics of double principal-agent mode of logistics services supply chain are investigated firstly, and then the double principal-agent model of logistics services supply chain is built based on the theory of principal-agent. Further research is done with several numerical experiments. The results of research show that the Pareto-optimal state in the double principal-agent mode can not be achieved because of members' individual rational decision-making behaviors. And some conclusions are drawn, including influencing factors for members' effort level, the change mechanism of the initial profit distribution coefficient and the second profit distribution coefficient, which could provide some basic ideas to the construction of incentive mechanism in the operation of logistics services supply chain.","2155-1847;21551847","978-1-4244-3970-6;9781424439706","978-1-4244-3971-3;9781424439713","10.1109/ICMSE.2009.5317690","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5317690","Double principal-agent;logistics management;logistics service supply chain;supply chain management","Collaboration;Conference management;Contracts;Decision making;Engineering management;Logistics;Manufacturing industries;Shape control;Supply chain management;Supply chains","decision making;logistics;service industries;supply chain management","double principal-agent mechanism;double principal-agent relationship;logistics service supply chain;profit distribution coefficient;rational decision-making behaviors;service industries;service supply chain;theory of principal-agent","","0","","21","","","14-16 Sept. 2009","","IEEE","IEEE Conference Publications"
"Modeling and analysis of dual-arm cluster tools for wafer fabrication with revisiting","Y. Qiao; N. Wu; M. Zhou","Department of Industrial Engineering, School of Mechatronics Engineering, Guangdong University of Technology, Guangzhou 510006, China","Automation Science and Engineering (CASE), 2011 IEEE Conference on","20111013","2011","","","90","95","Some wafer fabrication processes are repeated processes, e.g. atomic layer deposition (ALD) process. For such processes, the wafers need to visit some processing modules for a number of times, which complicates the cycle time analysis. This paper studies the cycle time analysis problem for such processes. With a Petri net model, it is found that such processes contain local cycles involving only the revisiting PMs and global cycles involving both revisiting and non-revisiting PMs. The process switches between these two types of cycles such that the process never reaches a steady state. Based on this finding, the mechanism underlying such processes is revealed and analytical expressions are given for the calculation of their cycle time. Illustrative examples are presented to show the application of the proposed approach.","2161-8070;21618070","978-1-4577-1730-7;9781457717307","978-1-4577-1731-4;9781457717314","10.1109/CASE.2011.6042403","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6042403","","Analytical models;Fabrication;Load modeling;Robots;Schedules;Semiconductor device modeling;System recovery","Petri nets;industrial manipulators;machine tools;semiconductor device manufacture;semiconductor industry","Petri net model;atomic layer deposition process;cycle time analysis;dual-arm cluster tool;processing module revisiting;repeated process;wafer fabrication process","","6","","31","","","24-27 Aug. 2011","","IEEE","IEEE Conference Publications"
"Understanding Software Architectures by Visualization--An Experiment with Graphical Elements","J. Knodel; D. Muthig; M. Naab","Fraunhofer Institute for Experimental Software Engineering (IESE), Germany","2006 13th Working Conference on Reverse Engineering","20061211","2006","","","39","50","The evolution and maintenance of large-scale software systems requires first an understanding of its architecture before delving into lower level details. Tools facilitating the architecture comprehension tasks by visualization provide different sets of graphical elements. We conducted a controlled experiment that exemplifies the critical role of such graphical elements when aiming at understanding the architecture. The results show that a different configuration of graphical elements influences program comprehension tasks significantly. In particular, a gain of effectiveness by 63% in basic architectural analysis tasks was achieved simply by choosing a different set of graphical elements. Based on the results we claim that significant effort should be spent on the configuration of architecture visualization tools","1095-1350;10951350","0-7695-2719-1;0769527191","","10.1109/WCRE.2006.54","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4023975","SAVE;architecture;experiment;graphical elements;program comprehension;visualization.","Computer architecture;Information retrieval;Large-scale systems;Monitoring;Performance analysis;Software architecture;Software engineering;Software maintenance;Software systems;Visualization","program visualisation;reverse engineering;software architecture;software maintenance","architecture visualization tool;graphical element configuration;program comprehension;software architectures;software evolution;software maintenance","","1","","26","","","Oct. 2006","","IEEE","IEEE Conference Publications"
"Computation reduction of smart sensors for EBSE using Mahalanobis sampling","M. Mart&#x00ED;nez-Rey; F. Espinosa; A. Gardel; C. Santos; &#x00C1; Salcedo","Univ. of Alcala, Alcala de Henares, Spain","Event-based Control, Communication, and Signal Processing (EBCCSP), 2015 International Conference on","20151026","2015","","","1","8","Event-based sampling strategies allow for reducing the amount of communications between a sensor and the estimation module. This reduction is interesting specially when the sensors are linked by a shared wireless network. This paper proposes new event-based sampling methods based on the Mahalanobis distance concept. Combined with an Event-Based State Estimator, they provide the same level of performance than other advanced sampling methods but keeping the computation simple enough to be executed by a smart sensor. The mentioned improvements of the algorithm respect other proposals are validated in simulation.","","","","10.1109/EBCCSP.2015.7300687","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7300687","","Eigenvalues and eigenfunctions;Ellipsoids;Estimation;Intelligent sensors;Mathematical model;Noise;Sampling methods","intelligent sensors;sampling methods;wireless sensor networks","EBSE;Mahalanobis distance concept;Mahalanobis sampling;event-based sampling strategies;shared wireless network;smart sensors;wireless sensor networks","","","","19","","","17-19 June 2015","","IEEE","IEEE Conference Publications"
"Multi-level parallelism in Phylocon algorithm","H. Y. Hamdani; N. A. Rashid","School of Computer Sciences, Universiti Sains Malaysia, Penang, Malaysia","2010 International Symposium on Information Technology","20100902","2010","2","","710","714","In this paper we investigate the advantages of multi-level parallelism on PhyloCon algorithm. The PhyloCon algorithm naturally possesses multi-levels of functions which cost the execution time took longer to complete. We showed that by applying parallelism to the selected level of functions may significantly reduce the execution time. The selected level of functions produced the independent outer-level parallelism and the independent inner-level parallelism. The details of each independent level of parallelism applied in PhyloCon algorithm are also were shown. The result of the research shows that multilevel parallelism produced a better performance compared to independent level parallelism which half of sequential execution time can be reduced using multi-level parallelism.","2155-8973;21558973","978-1-4244-6715-0;9781424467150","","10.1109/ITSIM.2010.5561606","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5561606","OpenMP;PhyloCon;multi-level parallelism","Biology;Hardware;Instruction sets;Parallel processing","parallel algorithms","Phylocon algorithm;independent inner-level parallelism;independent outer-level parallelism;multilevel parallelism","","0","","12","","","15-17 June 2010","","IEEE","IEEE Conference Publications"
"An envelope-following method for the efficient transient simulation of switching power and filter circuits","K. Kundert; J. White; A. Sangiovanni-Vincentelli","Dept. of Electr. Eng. & Comput. Sci., MIT, Cambridge, MA, USA","Computer-Aided Design, 1988. ICCAD-88. Digest of Technical Papers., IEEE International Conference on","20020806","1988","","","446","449","The transient behavior of circuits like switching power converters and switched capacitor filters are expensive to simulate because they are clocked at a frequency whose period is orders of magnitude smaller than the time interval of interest to the designer. It is possible to reduce the simulation time without compromising accuracy by exploiting the fact that the behavior of such a circuit in a given high-frequency clock cycle is similar, but not identical, to its behavior in the preceding and following cycles. In particular, the envelope of the high-frequency clock can be followed by accurately computing the circuit behavior over occasional cycles. The authors describe the implementation of an envelope-following method that is particularly efficient for switching power and filter circuits, and they present results demonstrating the method's effectiveness.<<ETX>>","","0-8186-0869-2;0818608692","","10.1109/ICCAD.1988.122546","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=122546","","Circuit simulation;Clocks;Computational modeling;Computer simulation;Frequency;Power filters;Switched capacitor circuits;Switches;Switching circuits;Switching converters","circuit analysis computing;clocks;digital simulation;power convertors;power integrated circuits;switched filters;switching networks;transients","accuracy;envelope-following method;filter circuits;high-frequency clock cycle;simulation time;switched capacitor filters;switching power converters;transient simulation","","30","2","11","","","7-10 Nov. 1988","07 Nov 1988-10 Nov 1988","IEEE","IEEE Conference Publications"
"Current-forced neutral injection in a three-phase rectifier/converter","J. Boys; B. Mitchell","Dept. of Electr. & Electron. Eng., Auckland Univ., New Zealand","IEE Proceedings - Electric Power Applications","20020806","1999","146","4","441","446","A new three-phase rectifier/converter with low harmonic input currents and minimal DC voltage ripple is described. The device achieves continuous input line currents by injecting a triangular third harmonic current, derived from the DC link current, into the neutral point of a delta-star transformer at the supply. It uses a conventional six-pulse phase controlled converter, with an additional bridge of four devices in the DC link. The additional bridge also cancels much of the DC voltage ripple, allowing a much smaller DC link inductance to be used. A prototype 10 kW system, suitable for such applications as DC motor drives, load-commutated inverters, exciters for AC generators, and low-power DC links is described. Experimental results obtained from this system are compared with ideal theoretical predictions","1350-2352;13502352","","","10.1049/ip-epa:19990306","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=796076","","","AC-DC power convertors;bridge circuits;harmonic distortion;harmonics suppression;power conversion harmonics;power transformers;rectifying circuits;transformer windings","10 kW;DC link current;DC voltage ripple;additional bridge;applications;current-forced neutral injection;delta-star transformer;harmonic input currents;six-pulse phase controlled power converter;three-phase rectifier;triangular third harmonic current injection","","2","","","","","Jul 1999","","IET","IET Journals & Magazines"
"Unwanted Traffic Control via Hybrid Trust Management","Z. Yan; R. Kantola; Y. Shen","Dept. of ComNet, Aalto Univ., Espoo, Finland","2012 IEEE 11th International Conference on Trust, Security and Privacy in Computing and Communications","20120906","2012","","","666","673","At the same time as the Internet provides a lot of social value, it is bogged down by unwanted traffic, which is malicious, harmful or unexpected for its receiver. This paper proposes an unwanted traffic control solution through hybrid trust management. It can control unwanted traffic from its source to destinations according to trust evaluation at a Global Trust Operator and traffic and behavior analysis at hosts. Thus, it can support unwanted traffic control in both a distributed and centralized manner and in both a defensive and offensive way. Simulation based evaluation shows that the solution is effective with regard to botnet intrusion, malicious attack of ISP and DDoS intrusion via reflectors.","2324-898X;2324898X","978-1-4673-2172-3;9781467321723","","10.1109/TrustCom.2012.291","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6296034","malware detection;reputation;spam filtering;trust;trust managemen;trust model","Electronic mail;Filtering;Monitoring;Receivers;Robustness;Security;Traffic control","Internet;computer network security;telecommunication traffic","DDoS intrusion;ISP malicious attack;Internet;botnet intrusion;global trust operator;hybrid trust management;unwanted traffic control","","3","","19","","","25-27 June 2012","","IEEE","IEEE Conference Publications"
"Specific Features of XGM in QD-SOA","Y. B. Ezra; B. I. Lembrikov; M. Haridim","Holon Inst. of Technol., Holon","IEEE Journal of Quantum Electronics","20070723","2007","43","8","730","737","The peculiarities of a cross-gain modulation (XGM) in quantum-dot semiconductor optical amplifier (QD SOAs) related to the inhomogeneous broadening are theoretically studied. We have solved numerically the electron rate equations for the QD SOA model including an excited state, a ground state and a continuum wetting layer (WL), and the propagation equations for the pump and the signal lightwaves. It is shown that XGM in QD SOA is possible for a comparatively large detuning close to the inhomogeneous broadening because in such a case QDs with substantially different resonant frequencies interact directly through WL.","0018-9197;00189197","","","10.1109/JQE.2007.901587","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4276830","Cross-gain modulation (XGM);optical networks;quantum dot (QD);semiconductor optical amplifier (SOA);wavelength conversion (WC)","Nonlinear optics;Optical distortion;Optical mixing;Optical modulation;Optical pumping;Optical signal processing;Optical wavelength conversion;Quantum dots;Semiconductor optical amplifiers;Stimulated emission","excited states;ground states;light propagation;optical modulation;quantum dot lasers;semiconductor optical amplifiers","QD-SOA;XGM;continuum wetting layer;cross-gain modulation;electron rate equations;excited state;ground state;inhomogeneous broadening;propagation equations;quantum-dot semiconductor optical amplifiers;signal lightwaves","","9","","47","","","Aug. 2007","","IEEE","IEEE Journals & Magazines"
"Nonreciprocal magneto-optics for millimeter waves","G. F. Dionne; J. A. Weiss; G. A. Allen","MIT, Lincoln Lab., Lexington, MA, USA","IEEE Transactions on Magnetics","20020806","1988","24","6","2817","2819","The magnetooptical principles that form the basis for isolators and circulators at infrared wavelengths, i.e. 0.8 and 1.3 μm, have been successfully applied at 1 cm (35 GHz). Unlike the infrared case, which functions on the wings of a crystal-field absorption line, millimeter-wave rotation originates from ferrimagnetic resonance, and its magnitude is directly proportional to the ferrite magnetization. The basic theory is adapted to interpret experiments over a band from 26 to 40 GHz, with unmatched iron-garnet rotation elements used in a Gaussian-beam spectrometer and with the addition of antireflection quarter-wave plates. An experimental demonstration of a 45° rotator yielded an effective isolation greater than 40 dB, with a total insertion loss substantially less than 0.1 dB over a 20% bandwidth","0018-9464;00189464","","","10.1109/20.92255","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=92255","","Circulators;Electromagnetic wave absorption;Ferrimagnetic materials;Ferrites;Gaussian processes;Isolators;Magnetic resonance;Magnetization;Magnetooptic effects;Spectroscopy","Faraday effect;circulators (microwave);garnets;magneto-optical devices;microwave isolators;solid-state microwave devices","1 cm;26 to 40 GHz;35 GHz;Faraday rotation;Gaussian-beam spectrometer;MM-wave nonreciprocal magnetooptics;antireflection quarter-wave plates;circulators;ferrimagnetic resonance;ferrite magnetization;garnet;insertion loss;isolators;magnetooptical principles","","7","","7","","","Nov 1988","","IEEE","IEEE Journals & Magazines"
"Learning visual operators from examples: a new paradigm in image processing","H. Knutsson; M. Borga","Comput. Vision Lab., Linkoping Univ., Sweden","Image Analysis and Processing, 1999. Proceedings. International Conference on","20020806","1999","","","58","62","This paper presents a general strategy for designing efficient visual operators. The approach is highly task-oriented and what constitutes the relevant information is defined by a set of examples. The examples are pairs of images displaying a strong dependence in the chosen feature but are otherwise independent. Particularly important concepts in the work are mutual information and canonical correlation. Visual operators learned from examples are presented, e.g., local shift-invariant orientation operators and image content-invariant disparity operators. Interesting similarities to biological vision functions are observed","","0-7695-0040-4;0769500404","","10.1109/ICIAP.1999.797571","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=797571","","Computer vision;Control theory;Data mining;Ear;Image analysis;Image processing;Laboratories;Learning systems;Mutual information;Read only memory","correlation methods;feature extraction;image processing;learning by example;mathematical operators","canonical correlation;feature dependence;image content-invariant disparity;image pairs;image processing;learning from examples;local shift-invariant orientation;mutual information;task-oriented approach;visual operators","","1","","9","","","1999","27 Sep 1999-29 Sep 1999","IEEE","IEEE Conference Publications"
"Polynomial datapath synthesis and optimization based on vanishing polynomial over Z<inf>2</inf><sup>m</sup> and algebraic techniques","S. Ghandali; B. Alizadeh; Z. Navabi; M. Fujita","School of Electrical and Computer Engineering, University of Tehran, Tehran, Iran","Formal Methods and Models for Codesign (MEMOCODE), 2012 10th IEEE/ACM International Conference on","20120903","2012","","","65","74","The growing market for Digital Signal Processing (DSP), Computer graphics and embedded systems applications that can be modeled as polynomial computations in their datapath designs, requires improvements in high-level synthesis and optimization techniques for such systems. This paper concentrates on how to find common sub-expressions between s given polynomial functions over Z<sub>2n1</sub> × Z<sub>2n2</sub> × ... × Z<sub>2nd</sub> to Z<sub>2m</sub> in order to optimize the area and delay as much as possible. Our main contributions in this paper is proposing an optimization method based on adding/deleting vanishing polynomials over Z<sub>2</sub><sup>m</sup>, i.e., those polynomials that are equivalent to zero over Z<sub>2</sub><sup>m</sup>, to/from given polynomial functions in the hope of achieving further common sub-expressions. After applying our optimization techniques, experimental comparisons with the state-of-the-art techniques show an average improvement in the area by 36.80% with an average delay decrease of 2.41%. Regarding the comparison with our previous works, the area and delay are improved by 21.4% and 8.7% respectively.","","978-1-4673-1314-8;9781467313148","","10.1109/MEMCOD.2012.6292301","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6292301","High-level synthesis;finite ring algebra;modular optimization;polynomial datapath","Algebra;Delay;Digital signal processing;Hardware;Kernel;Optimization;Polynomials","high level synthesis;optimisation;polynomials","DSP;Z<sub>2</sub><sup>m</sup>;algebraic techniques;computer graphics;digital signal processing;embedded systems applications;high-level synthesis;polynomial computations;polynomial datapath optimization;polynomial datapath synthesis;vanishing polynomial addition;vanishing polynomial deletion","","1","","18","","","16-17 July 2012","","IEEE","IEEE Conference Publications"
"Pipelined Cartesian-to-Polar Coordinate Conversion Based on SRT Division","S. W. Lee; K. S. Kwon; I. C. Park","Samsung Advanced Inst. of Technol., Yongin","IEEE Transactions on Circuits and Systems II: Express Briefs","20070723","2007","54","8","680","684","This brief proposes a new Cartesian-to-polar coordinate conversion technique based on the radix-4 SRT division. The coarse quotient is used to derive the magnitude and the coarse phase by referring to tables, while the fine quotient is applied to linearly interpolate the fine phase to be added to the coarse phase. Compared to the CORDIC-based techniques, the proposed conversion requires less internal word-length and provides parallelism between internal stages, resulting in reduced computation latency and small chip area. A prototype chip designed using 0.25-mum CMOS technology occupies 0.203 mm<sup>2</sup>, and post-layout simulations show maximum frequency of 400 MHz and power consumption of 170 mW at 2.5 V.","1549-7747;15497747","","","10.1109/TCSII.2007.898897","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4277928","Cartesian coordinate;computer arithmetic;coordinate conversion;polar coordinate","CMOS technology;Computational modeling;Computer simulation;Concurrent computing;Delay;Frequency conversion;Hardware;Parallel processing;Phase shift keying;Virtual prototyping","CMOS digital integrated circuits;pipeline arithmetic","CMOS;CORDIC-based;SRT division;coarse quotient;frequency 400 MHz;linearly interpolate;pipelined Cartesian-to-polar coordinate conversion;power 170 mW;size 0.25 mum;voltage 2.5 V","","3","","13","","","Aug. 2007","","IEEE","IEEE Journals & Magazines"
"Layered Video Transmission Using Wireless Path Diversity Based on Grey Relational Analysis","A. Razzaq; A. Mehaoua","LIPADE (Lab. d'Inf. Paris Descartes), Paris, France","2011 IEEE International Conference on Communications (ICC)","20110728","2011","","","1","6","Scalable video applications have been gaining popularity during last years. Providing high quality video over wireless networks towards heterogeneous receivers is a challenging task due to erratic and time-varying nature of a wireless channel. Compressed video bit-streams, such as Scalable Video Coding (SVC), are very vulnerable to channel disturbances when transmitted over error-prone wireless channels. Transmission errors not only corrupt the current frame, but also propagate to next frames along motions prediction path. In this paper we propose a novel scheme for transmission of SVC-based streams over Wireless Mesh Network (WMN) with Unequal Error Protection (UEP) based on Appropriate Path Selection (APS) and Network Coding (NC). The scheme tries to select appropriate paths based on Grey Relational Analysis (GRA) for different SVC layers. It chooses the best path for most important layer, base layer, and less stable paths for enhancement layers. Some nearby nodes along the transmission path are selected for recoding their received packets and store them in buffers for some period of time. The nearby nodes coded packets can be transmit to receivers for recovering the lost packets.","1550-3607;15503607","978-1-61284-232-5;9781612842325","978-1-61284-231-8;9781612842318","10.1109/icc.2011.5962784","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5962784","","Network coding;Peer to peer computing;Receivers;Static VAr compensators;Streaming media;Wireless mesh networks;Wireless networks","diversity reception;network coding;video coding;video streaming;wireless mesh networks","appropriate path selection;enhancement layers;grey relational analysis;layered video transmission;network coding;scalable video coding;unequal error protection;video bit-stream compression;wireless channel;wireless mesh network;wireless path diversity","","2","","16","","","5-9 June 2011","","IEEE","IEEE Conference Publications"
"Control engineering education at Monterrey Tech","R. Morales-Menendez; I. Y. S. Chavez; M. R. Cadena; L. E. Garza","Center for Innovation in Design & Technol., ITESM Campus Monterrey, Mexico","2006 American Control Conference","20060724","2006","","","6 pp.","","Control engineering teaching at ITESM Campus Monterrey combines advanced didactic techniques, software systems and experimental equipment as instructional tools to achieve educational objectives. A course is designed with the purpose of helping the students to get deep knowledge of process control as well as team work and autonomous learning abilities. International guidelines for the course design are provided by ABET criteria and engineering education colloquies. The chosen tools are used under a principle of practical experience which is basic for engineering formation. Problem based learning and cooperative work provide a didactic framework for the course activities. Blackboard is the Internet platform of the course. Matlab and control station allow the simulation of control systems. The experimental level process station gives the opportunity to implement and observe the real time performance of the different control strategies. A teaching learning system is proposed based on the synergy of instructors, students, academic contents and instructional tools","0743-1619;07431619","1-4244-0209-3;1424402093","1-4244-0210-7;1424402107","10.1109/ACC.2006.1655369","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1655369","","Collaborative work;Control engineering;Control engineering education;Control system synthesis;Engineering education;Guidelines;Internet;Learning systems;Process control;Software systems","computer aided instruction;control engineering computing;control engineering education;educational courses;process control;teaching","ABET criteria;Internet platform;control engineering education;control engineering teaching;control system simulation;cooperative work;course design;didactic techniques;engineering education colloquies;experimental equipment;problem based learning;process control;software systems;teaching learning system","","2","","15","","","14-16 June 2006","","IEEE","IEEE Conference Publications"
"Effective fusing the factored matrices in dual tensors for action recognition","C. Y. Hsieh; W. Y. Lin","National Chung Cheng University, Taiwan","Machine Vision Applications (MVA), 2015 14th IAPR International Conference on","20150713","2015","","","386","389","In statistics, Canonical Correlation Analysis (CCA) is a kind of method to effectively analyze the correlation between two data. In recent years, some methods reported in literatures treated the action video sequences as the tensors, and calculated the similarity between two video sequences using CCA. Each of these tensors was unfolded into several matrices or vectors in the previous works. And estimated the similarity between two tensors via accumulating the canonical correlations on all of the pairs of the unfolded matrices or vectors. In this paper, we treat each of the unfolded matrices in a tensor as an individual, instead of accumulating the canonical correlations in a whole tensor, such that we can effectively use the characteristic of each unfolded matrix. We also propose an information fusion method to combine the similarities of each of the unfolded matrices between two tensors. Furthermore, we add the Histogram of Oriented Gradients (HOG) features to complement the tensor generated by the pure video sequence. Our method is validated on the UCF sports database, and the experimental result shows that the proposed method can compete with the state-of-the-art methods.","","","","10.1109/MVA.2015.7153210","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7153210","","Computer vision;Correlation;Databases;Feature extraction;Pattern recognition;Tensile stress;Video sequences","feature extraction;image fusion;image sequences;matrix algebra;object recognition;statistical analysis;tensors;video signal processing","CCA;UCF sports database;action recognition;action video sequences;canonical correlation analysis;dual tensors;factored matrices;histogram-of-oriented gradients features;information fusion method;unfolded matrices;unfolded vectors","","0","","19","","","18-22 May 2015","","IEEE","IEEE Conference Publications"
"Table of contents","","","IEEE Signal Processing Letters","20100726","2010","17","9","777","778","Presents the table of contents for this issue of the periodical.","1070-9908;10709908","","","10.1109/LSP.2010.2061330","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5524619","","","","","","0","","","","","Sept. 2010","","IEEE","IEEE Journals & Magazines"
"Posicast control — An assessment over classical control of active damping for LC filter resonance in VSI inverter for UPS applications","Y. Kolhatkar","General Electric","2011 Annual IEEE India Conference","20120126","2011","","","1","6","Half-cycle Posicast control which can produce nearly deadbeat or critically damped response for classical 2<sup>nd</sup> order plant is presented in this paper. Basic frequency response characteristic is derived from Posicast feedback control using Pade's approximation. Second order transfer function case study which resembles output LC filter of inverter is taken for imposing this frequency response to reveal resonance damping. Matlab program and Simulink implementation of important part of the control is explained for the benefit of reader. In order to make further assessment of Posicast Control, and depict the simplicity of design procedure, classical method of active damping of LC filter resonance is analyzed. This gives better platform for one-to-one comparison of frequency response and dynamic performance of closed loop control of both the methods. Finally, Matlab Simulink waveforms are captured for analyzing the performance of both the methods under transient load conditions.","2325-940X;2325940X","978-1-4577-1110-7;9781457711107","","10.1109/INDCON.2011.6139555","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6139555","LC filter resonance active damping;Posicast control;two loop inverter control;virtual resistance damping","Capacitors;Damping;Filtering theory;Frequency response;Inverters;Resistance;Voltage control","closed loop systems;damping;feedback;frequency response;invertors;transfer functions;uninterruptible power supplies","LC filter resonance;Matlab program;Pade approximation;Posicast feedback control;Simulink implementation;UPS applications;VSI inverter;active damping classical control;closed loop control;dynamic performance;frequency response characteristic;half-cycle posicast control;second-order plant;second-order transfer function","","0","","16","","","16-18 Dec. 2011","","IEEE","IEEE Conference Publications"
"Piezoresistance Coefficients of (100) Silicon nMOSFETs Measured at Low and High ( ∼ 1.5 GPa) Channel Stress","S. Suthram; J. C. Ziegert; T. Nishida; S. E. Thompson","Florida Univ., Gainesville, FL","IEEE Electron Device Letters","20061226","2007","28","1","58","61","A flexure-based four-point mechanical wafer bending setup is used to apply large uniaxial tensile stress (up to 1.2 GPa) on industrial nMOSFETs with 0 to ~700 MPa of process-induced stress. This provides the highest uniaxial channel stress to date at ~1.5 GPa. The stress altered drain-current is measured for long and short (50-140 nm) devices and the extracted pi-coefficients are observed to be approximately constant for stresses up to ~1.5 GPa. For short devices, this trend is seen only after correcting for the significant degradation in the pi-coefficients observed due to parasitic source/drain series resistances (R<sub>s</sub>d/)","0741-3106;07413106","","","10.1109/LED.2006.887939","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4039567","Piezoresistance;strained-silicon;uniaxial;wafer bending","Calibration;Degradation;MOSFETs;Mechanical variables measurement;Piezoresistance;Piezoresistive devices;Predictive models;Silicon;Stress measurement;Tensile stress","MOSFET;elemental semiconductors;piezoresistance;silicon;tensile strength","channel stress;flexure-based four-point mechanical wafer bending;piezoresistance coefficients;silicon nMOSFET;uniaxial tensile stress","","20","","26","","","Jan. 2007","","IEEE","IEEE Journals & Magazines"
"Compact microstrip lowpass filter with wide stopband using nonuniform radial stubs","Z. Ning; Y. Wu; W. Wang; Y. Liu; J. Yu","Sch. of Electron. Eng., Beijing Univ. of Posts & Telecommun., Beijing, China","Antennas and Propagation (APCAP), 2015 IEEE 4th Asia-Pacific Conference on","20160107","2015","","","521","522","A compact microstrip lowpass filter with a wide stopband is proposed in this paper. To achieve wide stopband suppression and compact size, nonuniform radial stubs are adopted. The proposed lowpass filter is composed of four nonuniform radial stubs, four transmission lines, and two standard ports. A filter with the 3-dB cutoff frequency of 900 MHz is fabricated and measured. The fabricated lowpass filter is able to suppress the ninth-harmonic frequency response with a stopband rejection from 1.65 GHz to 8.5 GHz better than 20 dB. In addition, there is a good agreement between the simulated and measured results.","","","","10.1109/APCAP.2015.7374471","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7374471","lowpass filter;nonuniform radial stubs;wide stopband","","band-stop filters;low-pass filters;microstrip filters","compact microstrip lowpass filter;frequency 1.65 GHz to 8.5 GHz;nonuniform radial stubs;standard ports;transmission lines;wide stopband","","","","11","","","June 30 2015-July 3 2015","","IEEE","IEEE Conference Publications"
